species	species_in_ref_DB	genus_num_ref_DB	genus_num_ncbi	Completeness_genus	family_num_ref_DB	family_num_ncbi	Completeness_family	genus_list_ref_DB	family_list_ref_DB
Gadus_chalcogrammus	1	4	4	100.0	18	23	78.26086956521739	['Gadus_macrocephalus', 'Gadus_morhua', 'Gadus_chalcogrammus', 'Gadus_ogac']	['Gadus_macrocephalus', 'Micromesistius_poutassou', 'Gadus_morhua', 'Merlangius_merlangus', 'Trisopterus_luscus', 'Gadiculus_argenteus', 'Gadus_chalcogrammus', 'Boreogadus_saida', 'Arctogadus_glacialis', 'Eleginus_gracilis', 'Melanogrammus_aeglefinus', 'Microgadus_tomcod', 'Gadus_ogac', 'Microgadus_proximus', 'Pollachius_virens', 'Pollachius_pollachius', 'Trisopterus_minutus', 'Trisopterus_esmarkii']
Hippoglossus_stenolepis	1	2	2	100.0	57	64	89.0625	['Hippoglossus_hippoglossus', 'Hippoglossus_stenolepis']	['Verasper_moseri', 'Kareius_bicoloratus', 'Pleuronichthys_lighti', 'Pseudopleuronectes_yokohamae', 'Hippoglossoides_platessoides', 'Pleuronectes_platessa', 'Limanda_limanda', 'Microstomus_kitt', 'Myzopsetta_ferruginea', 'Pseudopleuronectes_americanus', 'Glyptocephalus_stelleri', 'Glyptocephalus_cynoglossus', 'Hippoglossus_hippoglossus', 'Hippoglossus_stenolepis', 'Reinhardtius_hippoglossoides', 'Eopsetta_jordani', 'Eopsetta_grigorjewi', 'Pseudopleuronectes_herzensteini', 'Verasper_variegatus', 'Clidoderma_asperrimum', 'Pleuronichthys_cornutus', 'Limanda_aspera', 'Pleuronichthys_japonicus', 'Dexistes_rikuzenius', 'Glyptocephalus_kitaharae', 'Platichthys_stellatus', 'Cleisthenes_herzensteini', 'Atheresthes_evermanni', 'Lepidopsetta_bilineata', 'Microstomus_pacificus', 'Isopsetta_isolepis', 'Psettichthys_melanostictus', 'Glyptocephalus_zachirus', 'Hypsopsetta_guttulata', 'Pleuronichthys_verticalis', 'Embassichthys_bathybius', 'Platichthys_flesus', 'Parophrys_vetulus', 'Myzopsetta_proboscidea', 'Atheresthes_stomias', 'Pseudopleuronectes_obscurus', 'Acanthopsetta_nadeshnyi', 'Liopsetta_pinnifasciata', 'Myzopsetta_punctatissima', 'Microstomus_achne', 'Pseudopleuronectes_schrenki', 'Cleisthenes_pinetorum', 'Lepidopsetta_mochigarei', 'Hippoglossoides_dubius', 'Hippoglossoides_elassodon', 'Pleuronectes_quadrituberculatus', 'Hippoglossoides_robustus', 'Limanda_sakhalinensis', 'Lepidopsetta_polyxystra', 'Pleuronichthys_coenosus', 'Lyopsetta_exilis', 'Pleuronichthys_ritteri']
Gadus_macrocephalus	1	4	4	100.0	18	23	78.26086956521739	['Gadus_macrocephalus', 'Gadus_morhua', 'Gadus_chalcogrammus', 'Gadus_ogac']	['Gadus_macrocephalus', 'Micromesistius_poutassou', 'Gadus_morhua', 'Merlangius_merlangus', 'Trisopterus_luscus', 'Gadiculus_argenteus', 'Gadus_chalcogrammus', 'Boreogadus_saida', 'Arctogadus_glacialis', 'Eleginus_gracilis', 'Melanogrammus_aeglefinus', 'Microgadus_tomcod', 'Gadus_ogac', 'Microgadus_proximus', 'Pollachius_virens', 'Pollachius_pollachius', 'Trisopterus_minutus', 'Trisopterus_esmarkii']
Atheresthes_stomias	1	2	2	100.0	57	64	89.0625	['Atheresthes_evermanni', 'Atheresthes_stomias']	['Verasper_moseri', 'Kareius_bicoloratus', 'Pleuronichthys_lighti', 'Pseudopleuronectes_yokohamae', 'Hippoglossoides_platessoides', 'Pleuronectes_platessa', 'Limanda_limanda', 'Microstomus_kitt', 'Myzopsetta_ferruginea', 'Pseudopleuronectes_americanus', 'Glyptocephalus_stelleri', 'Glyptocephalus_cynoglossus', 'Hippoglossus_hippoglossus', 'Hippoglossus_stenolepis', 'Reinhardtius_hippoglossoides', 'Eopsetta_jordani', 'Eopsetta_grigorjewi', 'Pseudopleuronectes_herzensteini', 'Verasper_variegatus', 'Clidoderma_asperrimum', 'Pleuronichthys_cornutus', 'Limanda_aspera', 'Pleuronichthys_japonicus', 'Dexistes_rikuzenius', 'Glyptocephalus_kitaharae', 'Platichthys_stellatus', 'Cleisthenes_herzensteini', 'Atheresthes_evermanni', 'Lepidopsetta_bilineata', 'Microstomus_pacificus', 'Isopsetta_isolepis', 'Psettichthys_melanostictus', 'Glyptocephalus_zachirus', 'Hypsopsetta_guttulata', 'Pleuronichthys_verticalis', 'Embassichthys_bathybius', 'Platichthys_flesus', 'Parophrys_vetulus', 'Myzopsetta_proboscidea', 'Atheresthes_stomias', 'Pseudopleuronectes_obscurus', 'Acanthopsetta_nadeshnyi', 'Liopsetta_pinnifasciata', 'Myzopsetta_punctatissima', 'Microstomus_achne', 'Pseudopleuronectes_schrenki', 'Cleisthenes_pinetorum', 'Lepidopsetta_mochigarei', 'Hippoglossoides_dubius', 'Hippoglossoides_elassodon', 'Pleuronectes_quadrituberculatus', 'Hippoglossoides_robustus', 'Limanda_sakhalinensis', 'Lepidopsetta_polyxystra', 'Pleuronichthys_coenosus', 'Lyopsetta_exilis', 'Pleuronichthys_ritteri']
Reinhardtius_hippoglossoides	1	1	1	100.0	57	64	89.0625	['Reinhardtius_hippoglossoides']	['Verasper_moseri', 'Kareius_bicoloratus', 'Pleuronichthys_lighti', 'Pseudopleuronectes_yokohamae', 'Hippoglossoides_platessoides', 'Pleuronectes_platessa', 'Limanda_limanda', 'Microstomus_kitt', 'Myzopsetta_ferruginea', 'Pseudopleuronectes_americanus', 'Glyptocephalus_stelleri', 'Glyptocephalus_cynoglossus', 'Hippoglossus_hippoglossus', 'Hippoglossus_stenolepis', 'Reinhardtius_hippoglossoides', 'Eopsetta_jordani', 'Eopsetta_grigorjewi', 'Pseudopleuronectes_herzensteini', 'Verasper_variegatus', 'Clidoderma_asperrimum', 'Pleuronichthys_cornutus', 'Limanda_aspera', 'Pleuronichthys_japonicus', 'Dexistes_rikuzenius', 'Glyptocephalus_kitaharae', 'Platichthys_stellatus', 'Cleisthenes_herzensteini', 'Atheresthes_evermanni', 'Lepidopsetta_bilineata', 'Microstomus_pacificus', 'Isopsetta_isolepis', 'Psettichthys_melanostictus', 'Glyptocephalus_zachirus', 'Hypsopsetta_guttulata', 'Pleuronichthys_verticalis', 'Embassichthys_bathybius', 'Platichthys_flesus', 'Parophrys_vetulus', 'Myzopsetta_proboscidea', 'Atheresthes_stomias', 'Pseudopleuronectes_obscurus', 'Acanthopsetta_nadeshnyi', 'Liopsetta_pinnifasciata', 'Myzopsetta_punctatissima', 'Microstomus_achne', 'Pseudopleuronectes_schrenki', 'Cleisthenes_pinetorum', 'Lepidopsetta_mochigarei', 'Hippoglossoides_dubius', 'Hippoglossoides_elassodon', 'Pleuronectes_quadrituberculatus', 'Hippoglossoides_robustus', 'Limanda_sakhalinensis', 'Lepidopsetta_polyxystra', 'Pleuronichthys_coenosus', 'Lyopsetta_exilis', 'Pleuronichthys_ritteri']
Hippoglossoides_elassodon	1	4	4	100.0	57	64	89.0625	['Hippoglossoides_platessoides', 'Hippoglossoides_dubius', 'Hippoglossoides_elassodon', 'Hippoglossoides_robustus']	['Verasper_moseri', 'Kareius_bicoloratus', 'Pleuronichthys_lighti', 'Pseudopleuronectes_yokohamae', 'Hippoglossoides_platessoides', 'Pleuronectes_platessa', 'Limanda_limanda', 'Microstomus_kitt', 'Myzopsetta_ferruginea', 'Pseudopleuronectes_americanus', 'Glyptocephalus_stelleri', 'Glyptocephalus_cynoglossus', 'Hippoglossus_hippoglossus', 'Hippoglossus_stenolepis', 'Reinhardtius_hippoglossoides', 'Eopsetta_jordani', 'Eopsetta_grigorjewi', 'Pseudopleuronectes_herzensteini', 'Verasper_variegatus', 'Clidoderma_asperrimum', 'Pleuronichthys_cornutus', 'Limanda_aspera', 'Pleuronichthys_japonicus', 'Dexistes_rikuzenius', 'Glyptocephalus_kitaharae', 'Platichthys_stellatus', 'Cleisthenes_herzensteini', 'Atheresthes_evermanni', 'Lepidopsetta_bilineata', 'Microstomus_pacificus', 'Isopsetta_isolepis', 'Psettichthys_melanostictus', 'Glyptocephalus_zachirus', 'Hypsopsetta_guttulata', 'Pleuronichthys_verticalis', 'Embassichthys_bathybius', 'Platichthys_flesus', 'Parophrys_vetulus', 'Myzopsetta_proboscidea', 'Atheresthes_stomias', 'Pseudopleuronectes_obscurus', 'Acanthopsetta_nadeshnyi', 'Liopsetta_pinnifasciata', 'Myzopsetta_punctatissima', 'Microstomus_achne', 'Pseudopleuronectes_schrenki', 'Cleisthenes_pinetorum', 'Lepidopsetta_mochigarei', 'Hippoglossoides_dubius', 'Hippoglossoides_elassodon', 'Pleuronectes_quadrituberculatus', 'Hippoglossoides_robustus', 'Limanda_sakhalinensis', 'Lepidopsetta_polyxystra', 'Pleuronichthys_coenosus', 'Lyopsetta_exilis', 'Pleuronichthys_ritteri']
Sebastes_polyspinis	0	80	117	68.37606837606837	91	130	70.0	['Sebastes_schlegelii', 'Sebastes_viviparus', 'Sebastes_mentella', 'Sebastes_ventricosus', 'Sebastes_pachycephalus', 'Sebastes_oculatus', 'Sebastes_ciliatus', 'Sebastes_melanops', 'Sebastes_variabilis', 'Sebastes_koreanus', 'Sebastes_inermis', 'Sebastes_oblongus', 'Sebastes_vulpes', 'Sebastes_taczanowskii', 'Sebastes_hubbsi', 'Sebastes_rubrivinctus', 'Sebastes_nigrocinctus', 'Sebastes_steindachneri', 'Sebastes_melanostictus', 'Sebastes_minor', 'Sebastes_longispinis', 'Sebastes_trivittatus', 'Sebastes_owstoni', 'Sebastes_thompsoni', 'Sebastes_fasciatus', 'Sebastes_matsubarae', 'Sebastes_ruberrimus', 'Sebastes_elongatus', 'Sebastes_maliger', 'Sebastes_norvegicus', 'Sebastes_caurinus', 'Sebastes_cheni', 'Sebastes_exsul', 'Sebastes_macdonaldi', 'Sebastes_eos', 'Sebastes_crameri', 'Sebastes_glaucus', 'Sebastes_simulator', 'Sebastes_pinniger', 'Sebastes_dallii', 'Sebastes_ovalis', 'Sebastes_helvomaculatus', 'Sebastes_zonatus', 'Sebastes_nudus', 'Sebastes_joyneri', 'Sebastes_semicinctus', 'Sebastes_saxicola', 'Sebastes_miniatus', 'Sebastes_mystinus', 'Sebastes_zacentrus', 'Sebastes_proriger', 'Sebastes_brevispinis', 'Sebastes_nebulosus', 'Sebastes_babcocki', 'Sebastes_diploproa', 'Sebastes_auriculatus', 'Sebastes_flavidus', 'Sebastes_alutus', 'Sebastes_aleutianus', 'Sebastes_emphaeus', 'Sebastes_entomelas', 'Sebastes_paucispinis', 'Sebastes_rosaceus', 'Sebastes_scythropus', 'Sebastes_iracundus', 'Sebastes_baramenuke', 'Sebastes_wakiyai', 'Sebastes_reedi', 'Sebastes_serriceps', 'Sebastes_rufus', 'Sebastes_phillipsi', 'Sebastes_wilsoni', 'Sebastes_borealis', 'Sebastes_rosenblatti', 'Sebastes_melanosema', 'Sebastes_constellatus', 'Sebastes_goodei', 'Sebastes_lentiginosus', 'Sebastes_gilli', 'Sebastes_rastrelliger']	['Sebastes_schlegelii', 'Sebastes_viviparus', 'Sebastes_mentella', 'Sebastolobus_macrochir', 'Sebastiscus_marmoratus', 'Sebastes_ventricosus', 'Sebastes_pachycephalus', 'Helicolenus_hilgendorfi', 'Sebastes_oculatus', 'Sebastiscus_albofasciatus', 'Sebastiscus_tertius', 'Helicolenus_dactylopterus', 'Sebastes_ciliatus', 'Sebastes_melanops', 'Sebastes_variabilis', 'Sebastes_koreanus', 'Sebastes_inermis', 'Sebastes_oblongus', 'Sebastes_vulpes', 'Sebastes_taczanowskii', 'Sebastes_hubbsi', 'Sebastes_rubrivinctus', 'Sebastes_nigrocinctus', 'Sebastes_steindachneri', 'Sebastes_melanostictus', 'Sebastes_minor', 'Sebastes_longispinis', 'Sebastes_trivittatus', 'Sebastes_owstoni', 'Sebastes_thompsoni', 'Helicolenus_avius', 'Sebastes_fasciatus', 'Sebastes_matsubarae', 'Sebastes_ruberrimus', 'Sebastes_elongatus', 'Sebastes_maliger', 'Sebastes_norvegicus', 'Sebastes_caurinus', 'Sebastes_cheni', 'Sebastes_exsul', 'Sebastes_macdonaldi', 'Sebastes_eos', 'Sebastes_crameri', 'Sebastes_glaucus', 'Sebastes_simulator', 'Sebastes_pinniger', 'Sebastes_dallii', 'Sebastes_ovalis', 'Sebastes_helvomaculatus', 'Sebastes_zonatus', 'Hozukius_emblemarius', 'Sebastes_nudus', 'Sebastolobus_alascanus', 'Sebastes_joyneri', 'Sebastes_semicinctus', 'Sebastes_saxicola', 'Sebastes_miniatus', 'Sebastes_mystinus', 'Sebastes_zacentrus', 'Sebastes_proriger', 'Sebastes_brevispinis', 'Sebastes_nebulosus', 'Sebastes_babcocki', 'Sebastes_diploproa', 'Sebastes_auriculatus', 'Sebastes_flavidus', 'Sebastes_alutus', 'Sebastes_aleutianus', 'Sebastes_emphaeus', 'Sebastes_entomelas', 'Sebastes_paucispinis', 'Sebastes_rosaceus', 'Sebastes_scythropus', 'Sebastes_iracundus', 'Sebastiscus_vibrantus', 'Sebastes_baramenuke', 'Sebastes_wakiyai', 'Sebastes_reedi', 'Sebastolobus_altivelis', 'Sebastes_serriceps', 'Sebastes_rufus', 'Sebastes_phillipsi', 'Sebastes_wilsoni', 'Sebastes_borealis', 'Sebastes_rosenblatti', 'Sebastes_melanosema', 'Sebastes_constellatus', 'Sebastes_goodei', 'Sebastes_lentiginosus', 'Sebastes_gilli', 'Sebastes_rastrelliger']
Pleurogrammus_monopterygius	1	2	2	100.0	10	13	76.92307692307693	['Pleurogrammus_azonus', 'Pleurogrammus_monopterygius']	['Hexagrammos_agrammus', 'Hexagrammos_otakii', 'Hexagrammos_decagrammus', 'Ophiodon_elongatus', 'Oxylebius_pictus', 'Pleurogrammus_azonus', 'Hexagrammos_lagocephalus', 'Pleurogrammus_monopterygius', 'Hexagrammos_octogrammus', 'Hexagrammos_stelleri']
Anoplopoma_fimbria	1	1	1	100.0	2	2	100.0	['Anoplopoma_fimbria']	['Erilepis_zonifer', 'Anoplopoma_fimbria']
Sebastes_alutus	1	80	117	68.37606837606837	91	130	70.0	['Sebastes_schlegelii', 'Sebastes_viviparus', 'Sebastes_mentella', 'Sebastes_ventricosus', 'Sebastes_pachycephalus', 'Sebastes_oculatus', 'Sebastes_ciliatus', 'Sebastes_melanops', 'Sebastes_variabilis', 'Sebastes_koreanus', 'Sebastes_inermis', 'Sebastes_oblongus', 'Sebastes_vulpes', 'Sebastes_taczanowskii', 'Sebastes_hubbsi', 'Sebastes_rubrivinctus', 'Sebastes_nigrocinctus', 'Sebastes_steindachneri', 'Sebastes_melanostictus', 'Sebastes_minor', 'Sebastes_longispinis', 'Sebastes_trivittatus', 'Sebastes_owstoni', 'Sebastes_thompsoni', 'Sebastes_fasciatus', 'Sebastes_matsubarae', 'Sebastes_ruberrimus', 'Sebastes_elongatus', 'Sebastes_maliger', 'Sebastes_norvegicus', 'Sebastes_caurinus', 'Sebastes_cheni', 'Sebastes_exsul', 'Sebastes_macdonaldi', 'Sebastes_eos', 'Sebastes_crameri', 'Sebastes_glaucus', 'Sebastes_simulator', 'Sebastes_pinniger', 'Sebastes_dallii', 'Sebastes_ovalis', 'Sebastes_helvomaculatus', 'Sebastes_zonatus', 'Sebastes_nudus', 'Sebastes_joyneri', 'Sebastes_semicinctus', 'Sebastes_saxicola', 'Sebastes_miniatus', 'Sebastes_mystinus', 'Sebastes_zacentrus', 'Sebastes_proriger', 'Sebastes_brevispinis', 'Sebastes_nebulosus', 'Sebastes_babcocki', 'Sebastes_diploproa', 'Sebastes_auriculatus', 'Sebastes_flavidus', 'Sebastes_alutus', 'Sebastes_aleutianus', 'Sebastes_emphaeus', 'Sebastes_entomelas', 'Sebastes_paucispinis', 'Sebastes_rosaceus', 'Sebastes_scythropus', 'Sebastes_iracundus', 'Sebastes_baramenuke', 'Sebastes_wakiyai', 'Sebastes_reedi', 'Sebastes_serriceps', 'Sebastes_rufus', 'Sebastes_phillipsi', 'Sebastes_wilsoni', 'Sebastes_borealis', 'Sebastes_rosenblatti', 'Sebastes_melanosema', 'Sebastes_constellatus', 'Sebastes_goodei', 'Sebastes_lentiginosus', 'Sebastes_gilli', 'Sebastes_rastrelliger']	['Sebastes_schlegelii', 'Sebastes_viviparus', 'Sebastes_mentella', 'Sebastolobus_macrochir', 'Sebastiscus_marmoratus', 'Sebastes_ventricosus', 'Sebastes_pachycephalus', 'Helicolenus_hilgendorfi', 'Sebastes_oculatus', 'Sebastiscus_albofasciatus', 'Sebastiscus_tertius', 'Helicolenus_dactylopterus', 'Sebastes_ciliatus', 'Sebastes_melanops', 'Sebastes_variabilis', 'Sebastes_koreanus', 'Sebastes_inermis', 'Sebastes_oblongus', 'Sebastes_vulpes', 'Sebastes_taczanowskii', 'Sebastes_hubbsi', 'Sebastes_rubrivinctus', 'Sebastes_nigrocinctus', 'Sebastes_steindachneri', 'Sebastes_melanostictus', 'Sebastes_minor', 'Sebastes_longispinis', 'Sebastes_trivittatus', 'Sebastes_owstoni', 'Sebastes_thompsoni', 'Helicolenus_avius', 'Sebastes_fasciatus', 'Sebastes_matsubarae', 'Sebastes_ruberrimus', 'Sebastes_elongatus', 'Sebastes_maliger', 'Sebastes_norvegicus', 'Sebastes_caurinus', 'Sebastes_cheni', 'Sebastes_exsul', 'Sebastes_macdonaldi', 'Sebastes_eos', 'Sebastes_crameri', 'Sebastes_glaucus', 'Sebastes_simulator', 'Sebastes_pinniger', 'Sebastes_dallii', 'Sebastes_ovalis', 'Sebastes_helvomaculatus', 'Sebastes_zonatus', 'Hozukius_emblemarius', 'Sebastes_nudus', 'Sebastolobus_alascanus', 'Sebastes_joyneri', 'Sebastes_semicinctus', 'Sebastes_saxicola', 'Sebastes_miniatus', 'Sebastes_mystinus', 'Sebastes_zacentrus', 'Sebastes_proriger', 'Sebastes_brevispinis', 'Sebastes_nebulosus', 'Sebastes_babcocki', 'Sebastes_diploproa', 'Sebastes_auriculatus', 'Sebastes_flavidus', 'Sebastes_alutus', 'Sebastes_aleutianus', 'Sebastes_emphaeus', 'Sebastes_entomelas', 'Sebastes_paucispinis', 'Sebastes_rosaceus', 'Sebastes_scythropus', 'Sebastes_iracundus', 'Sebastiscus_vibrantus', 'Sebastes_baramenuke', 'Sebastes_wakiyai', 'Sebastes_reedi', 'Sebastolobus_altivelis', 'Sebastes_serriceps', 'Sebastes_rufus', 'Sebastes_phillipsi', 'Sebastes_wilsoni', 'Sebastes_borealis', 'Sebastes_rosenblatti', 'Sebastes_melanosema', 'Sebastes_constellatus', 'Sebastes_goodei', 'Sebastes_lentiginosus', 'Sebastes_gilli', 'Sebastes_rastrelliger']
