"","accepted_name","verbatim_name","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","fishbase_name"
"1","Lycodapus poecilus","Lycodapus poecilus","accepted","Lycodapus poecilus",NA,"species","Actinopteri","Perciformes","Zoarcidae","Lycodapus",TRUE,FALSE,FALSE,279394,NA,"Lycodapus poecilus"
"2","Thyriscus anoplus","Thyriscus anoplus","accepted","Thyriscus anoplus",NA,"species","Actinopteri","Perciformes","Cottidae","Thyriscus",TRUE,FALSE,FALSE,282971,NA,"Thyriscus anoplus"
"3","Icelus uncinalis","Icelus uncinalis","accepted","Icelus uncinalis",NA,"species","Actinopteri","Perciformes","Cottidae","Icelus",TRUE,FALSE,FALSE,274388,NA,"Icelus uncinalis"
"4","Bolinia euryptera","Bolinia euryptera","accepted","Bolinia euryptera",NA,"species","Actinopteri","Perciformes","Cottidae","Bolinia",TRUE,FALSE,FALSE,398458,NA,"Bolinia euryptera"
"5","Careproctus ectenes","Careproctus ectenes","accepted","Careproctus ectenes",NA,"species","Actinopteri","Perciformes","Liparidae","Careproctus",TRUE,FALSE,FALSE,274424,NA,"Careproctus ectenes"
"6","Icelus euryops","Icelus euryops","accepted","Icelus euryops",NA,"species","Actinopteri","Perciformes","Cottidae","Icelus",TRUE,FALSE,FALSE,274379,NA,"Icelus euryops"
"7","Triglops metopias","Triglops metopias","accepted","Triglops metopias",NA,"species","Actinopteri","Perciformes","Cottidae","Triglops",TRUE,FALSE,FALSE,274400,NA,"Triglops metopias"
"8","Triglops xenostethus","Triglops xenostethus","accepted","Triglops xenostethus",NA,"species","Actinopteri","Perciformes","Cottidae","Triglops",TRUE,FALSE,FALSE,274401,NA,"Triglops xenostethus"
"9","Archistes biseriatus","Archistes biseriatus","accepted","Archistes biseriatus",NA,"species","Actinopteri","Perciformes","Cottidae","Archistes",TRUE,FALSE,FALSE,279679,NA,"Archistes biseriatus"
"10","Malacocottus aleuticus","Malacocottus aleuticus","accepted","Malacocottus aleuticus",NA,"species","Actinopteri","Perciformes","Psychrolutidae","Malacocottus",TRUE,FALSE,FALSE,279440,NA,"Malacocottus aleuticus"
