subject_accession,subject_taxonomy_id,kingdom,phylum,class,order,family,genus,species,sp_num,class_count,extra_organism
MH011824,1891026,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira,1,151,n
MF351944,77133,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,bacterium,1,393,n
KY342551,1211,Bacteria,Cyanobacteriota,unknown class,unknown order,unknown family,unknown genus,cyanobacterium,1,393,n
KX937927,203449,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,marine eukaryote,1,393,n
KT956302,941266,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Lauderiaceae,Lauderia,Lauderia,1,151,n
NC_058876,49265,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,1,151,n
JN314403,100272,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,eukaryote,1,393,n
HM485246,358574,unknown kingdom,unknown phylum,unknown class,unknown order,unknown family,unknown genus,microorganism,1,393,n
GU317833,56765,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,marine,1,393,n
FJ002202,382366,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Lauderiaceae,Lauderia,Lauderia annulata,1,151,n
FJ178075,137771,Eukaryota,Bacillariophyta,unknown class,unknown order,unknown family,unknown genus,diatom,1,393,n
EU068020,172788,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,phototrophic eukaryote,1,393,n
AF327032,147222,Eukaryota,Bacillariophyta,unknown class,unknown order,unknown family,unknown genus,bacillariophyte,1,393,n
AY274235,171248,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,alga,1,393,n
AJ536459,49255,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Lauderiaceae,Lauderia,Lauderia borealis,1,151,n
MK372941,41457,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema pseudocostatum,1,151,n
KX014024,1737140,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,eukaryotic phytoplankton,1,393,n
