"","version","compare_name"
"1","eDNA, top 500","Abalistes filamentosus"
"2","eDNA, top 500","Abalistes stellatus"
"21","eDNA, top 500","Acanthochromis polyacanthus"
"29","eDNA, top 500","Acanthopsetta nadeshnyi"
"30","eDNA, top 500","Acanthostracion polygonium"
"49","eDNA, top 500","Acentrogobius audax"
"50","eDNA, top 500","Acentrogobius moloanus"
"51","eDNA, top 500","Acentrogobius multifasciatus"
"54","eDNA, top 500","Achoerodus viridis"
"55","eDNA, top 500","Achondrostoma oligolepis"
"60","eDNA, top 500","Acrossocheilus fasciatus"
"61","eDNA, top 500","Acrossocheilus parallens"
"66","eDNA, top 500","Agonomalus jordani"
"68","eDNA, top 500","Agonomalus proboscidalis"
"71","eDNA, top 500","Agonus cataphractus"
"76","eDNA, top 500","Alburnoides bipunctatus"
"77","eDNA, top 500","Alburnus alburnus"
"78","eDNA, top 500","Alburnus chalcoides"
"79","eDNA, top 500","Alcichthys elongatus"
"84","eDNA, top 500","Alectrias alectrolophus"
"85","eDNA, top 500","Alectrias benjamini"
"88","eDNA, top 500","Alepocephalus agassizii"
"89","eDNA, top 500","Alepocephalus australis"
"90","eDNA, top 500","Alepocephalus bairdii"
"91","eDNA, top 500","Alepocephalus bicolor"
"93","eDNA, top 500","Alepocephalus longiceps"
"94","eDNA, top 500","Alepocephalus productus"
"96","eDNA, top 500","Alepocephalus umbriceps"
"97","eDNA, top 500","Algansea lacustris"
"110","eDNA, top 500","Alosa aestivalis"
"111","eDNA, top 500","Alosa alabamae"
"112","eDNA, top 500","Alosa alosa"
"113","eDNA, top 500","Alosa fallax"
"114","eDNA, top 500","Alosa mediocris"
"115","eDNA, top 500","Alosa pseudoharengus"
"120","eDNA, top 500","Altrichthys azurelineatus"
"122","eDNA, top 500","Amazonsprattus scintilla"
"124","eDNA, top 500","Ambloplites rupestris"
"126","eDNA, top 500","Amblygobius nocturnus"
"129","eDNA, top 500","Ameiurus melas"
"130","eDNA, top 500","Ameiurus nebulosus"
"136","eDNA, top 500","Amoya signata"
"137","eDNA, top 500","Amphilophus amarillo"
"138","eDNA, top 500","Amphiprion akallopisos"
"139","eDNA, top 500","Amphiprion chrysogaster"
"140","eDNA, top 500","Amphiprion ephippium"
"152","eDNA, top 500","Anarhichas denticulatus"
"153","eDNA, top 500","Anarhichas lupus"
"154","eDNA, top 500","Anarhichas minor"
"167","eDNA, top 500","Andinoacara pulcher"
"168","eDNA, top 500","Andriashevia sp. CBM:ZF:16351-1"
"170","eDNA, top 500","Anguilla reinhardtii"
"172","eDNA, top 500","Anisarchus macrops"
"180","eDNA, top 500","Anodontostoma chacunda"
"181","eDNA, top 500","Anomalops katoptron"
"190","eDNA, top 500","Antennarius sp. RGIP_2984"
"197","eDNA, top 500","Antigonia rubescens"
"200","eDNA, top 500","Anyperodon leucogrammicus"
"201","eDNA, top 500","Apeltes quadracus"
"224","eDNA, top 500","Aptocyclus ventricosus"
"227","eDNA, top 500","Arctogadus glacialis"
"228","eDNA, top 500","Arctoscopus japonicus"
"230","eDNA, top 500","Argentina kagoshimae"
"232","eDNA, top 500","Argentina silus"
"233","eDNA, top 500","Argentina sphyraena"
"236","eDNA, top 500","Argyrocottus zanderi"
"244","eDNA, top 500","Argyrops bleekeri"
"245","eDNA, top 500","Argyrops filamentosus"
"246","eDNA, top 500","Argyrops spinifer"
"262","eDNA, top 500","Artediellus atlanticus"
"264","eDNA, top 500","Artediellus dydymovi"
"265","eDNA, top 500","Artediellus neyelovi"
"267","eDNA, top 500","Artediellus scaber"
"268","eDNA, top 500","Artediellus uncinatus"
"279","eDNA, top 500","Askoldia variegata"
"282","eDNA, top 500","Asprocottus pulcher"
"286","eDNA, top 500","Astrocottus matsubarae"
"287","eDNA, top 500","Astrocottus regulus"
"292","eDNA, top 500","Astronesthes indopacificus"
"298","eDNA, top 500","Astronesthes sp. CBM DNA No. 2015-229"
"299","eDNA, top 500","Astronesthes sp. CBM:ZF:14326"
"300","eDNA, top 500","Astronesthes sp. CBM:ZF:14679"
"301","eDNA, top 500","Astronesthes sp. CBM:ZF:15526"
"302","eDNA, top 500","Astronesthes sp. HUMZ:214176"
"306","eDNA, top 500","Astyanax altiparanae"
"307","eDNA, top 500","Astyanax bimaculatus"
"308","eDNA, top 500","Astyanax lacustris"
"317","eDNA, top 500","Atherinomorus regina"
"322","eDNA, top 500","Aulacocephalus temminckii"
"328","eDNA, top 500","Aurigequula fasciata"
"340","eDNA, top 500","Badis sp. CBM:ZF:14808"
"341","eDNA, top 500","Bagarius yarrelli"
"347","eDNA, top 500","Balistes capriscus"
"349","eDNA, top 500","Balistes punctatus"
"350","eDNA, top 500","Balistes vetula"
"351","eDNA, top 500","Balistoides viridescens"
"353","eDNA, top 500","Barbatula nuda"
"354","eDNA, top 500","Barbatula sp. YW-2106"
"356","eDNA, top 500","Barbucca diabolica"
"386","eDNA, top 500","Bathygobius petrophilus"
"390","eDNA, top 500","Bathylagichthys greyae"
"417","eDNA, top 500","Bathytroctes breviceps"
"419","eDNA, top 500","Bathytroctes michaelsarsi"
"420","eDNA, top 500","Bathytroctes microlepis"
"422","eDNA, top 500","Batrachocottus baicalensis"
