"","source","found_taxa"
"1","eDNA, top 500","Abalistes filamentosus"
"2","eDNA, top 500","Abalistes stellaris"
"3","eDNA, top 500","Abalistes stellatus"
"4","eDNA, top 500","Acanthochromis polyacanthus"
"5","eDNA, top 500","Acanthogobius hasta"
"6","eDNA, top 500","Acanthopsetta nadeshnyi"
"7","eDNA, top 500","Acanthostracion polygonium"
"8","eDNA, top 500","Acanthostracion quadricornis"
"9","eDNA, top 500","Acentrogobius audax"
"10","eDNA, top 500","Acentrogobius moloanus"
"11","eDNA, top 500","Acentrogobius multifasciatus"
"12","eDNA, top 500","Achoerodus viridis"
"13","eDNA, top 500","Achondrostoma oligolepis"
"14","eDNA, top 500","Acrossocheilus fasciatus"
"15","eDNA, top 500","Acrossocheilus parallens"
"16","eDNA, top 500","Agonomalus jordani"
"17","eDNA, top 500","Agonomalus proboscidalis"
"18","eDNA, top 500","Agonus cataphractus"
"19","eDNA, top 500","Alburnoides bipunctatus"
"20","eDNA, top 500","Alburnus alburnus"
"21","eDNA, top 500","Alburnus chalcoides"
"22","eDNA, top 500","Alcichthys elongatus"
"23","eDNA, top 500","Alectrias alectrolophus"
"24","eDNA, top 500","Alectrias benjamini"
"25","eDNA, top 500","Alepocephalus agassizii"
"26","eDNA, top 500","Alepocephalus australis"
"27","eDNA, top 500","Alepocephalus bairdii"
"28","eDNA, top 500","Alepocephalus bicolor"
"29","eDNA, top 500","Alepocephalus longiceps"
"30","eDNA, top 500","Alepocephalus productus"
"31","eDNA, top 500","Alepocephalus umbriceps"
"32","eDNA, top 500","Algansea lacustris"
"33","eDNA, top 500","Alosa aestivalis"
"34","eDNA, top 500","Alosa alabamae"
"35","eDNA, top 500","Alosa alosa"
"36","eDNA, top 500","Alosa fallax"
"37","eDNA, top 500","Alosa mediocris"
"38","eDNA, top 500","Alosa pseudoharengus"
"39","eDNA, top 500","Altrichthys azurelineatus"
"40","eDNA, top 500","Amazonsprattus scintilla"
"41","eDNA, top 500","Ambloplites rupestris"
"42","eDNA, top 500","Amblygobius nocturnus"
"43","eDNA, top 500","Ameiurus melas"
"44","eDNA, top 500","Ameiurus nebulosus"
"45","eDNA, top 500","Amoya signata"
"46","eDNA, top 500","Amphilophus amarillo"
"47","eDNA, top 500","Amphiprion akallopisos"
"48","eDNA, top 500","Amphiprion chrysogaster"
"49","eDNA, top 500","Amphiprion ephippium"
"50","eDNA, top 500","Amphiprion frenatus"
"51","eDNA, top 500","Anabas testudineus"
"52","eDNA, top 500","Anarhichas denticulatus"
"53","eDNA, top 500","Anarhichas lupus"
"54","eDNA, top 500","Anarhichas minor"
"55","eDNA, top 500","Andinoacara pulcher"
"56","eDNA, top 500","Anguilla reinhardtii"
"57","eDNA, top 500","Anisarchus macrops"
"58","eDNA, top 500","Anodontostoma chacunda"
"59","eDNA, top 500","Anomalops katoptron"
"60","eDNA, top 500","Antigonia rubescens"
"61","eDNA, top 500","Antigonia steindachneri"
"62","eDNA, top 500","Anyperodon leucogrammicus"
"63","eDNA, top 500","Apeltes quadracus"
"64","eDNA, top 500","Aptocyclus ventricosus"
"65","eDNA, top 500","Arctogadus glacialis"
"66","eDNA, top 500","Arctoscopus japonicus"
"67","eDNA, top 500","Argentina kagoshimae"
"68","eDNA, top 500","Argentina silus"
"69","eDNA, top 500","Argentina sphyraena"
"70","eDNA, top 500","Argyrocottus zanderi"
"71","eDNA, top 500","Argyrops bleekeri"
"72","eDNA, top 500","Argyrops filamentosus"
"73","eDNA, top 500","Argyrops spinifer"
"74","eDNA, top 500","Artediellus atlanticus"
"75","eDNA, top 500","Artediellus dydymovi"
