"","source","found_taxa"
"1","eDNA, Tully","Ammodytes marinus"
"2","eDNA, Tully","Cottus cognatus"
"3","eDNA, Tully","Cottus hangiongensis"
"4","eDNA, Tully","Cottus rhenanus"
"5","eDNA, Tully","Cottus ricei"
"6","eDNA, Tully","Gadus morhua"
"7","eDNA, Tully","Gadus ogac"
"8","eDNA, Tully","Gasterosteus aculeatus"
"9","eDNA, Tully","Hexagrammos agrammus"
"10","eDNA, Tully","Hippoglossus hippoglossus"
"11","eDNA, Tully","Oncorhynchus clarkii lewisi"
"12","eDNA, Tully","Oncorhynchus mykiss"
"13","eDNA, Tully","Pholis crassispina"
"14","eDNA, Tully","Rhacochilus vacca"
"15","eDNA, Tully","Salvelinus taranetzi"
"16","eDNA, Tully","Sardinops melanostictus"
"17","eDNA, Tully","Sebastes baramenuke"
"18","eDNA, Tully","Sprattus sprattus"
"19","eDNA, Tully","Syngnathus leptorhynchus"
