found_taxa,worms_name,verbatim_name,gbif_name,ncbi_name,ncbi_commonname,gbif_usagekey,ncbi_uid,gbif_status,worms_aphiaid,worms_status,freshwater_only,kingdom,phylum,class,order,family,genus
Clupea pallasii,Clupea pallasii,Clupea pallasii,Clupea pallasii,Clupea pallasii,Pacific herring,4284072,30724,accepted,151159,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea
Clupea harengus,Clupea harengus,Clupea harengus,Clupea harengus,Clupea harengus,Atlantic herring,8351946,7950,accepted,126417,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea
Sprattus sprattus,Sprattus sprattus,Sprattus sprattus,Sprattus sprattus,Sprattus sprattus,European sprat,2413452,196075,accepted,126425,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus
Sprattus muelleri,Sprattus muelleri,Sprattus muelleri,Sprattus muelleri,Sprattus muelleri,New Zealand sprat,2413444,691800,accepted,272282,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus
Sprattus antipodum,Sprattus antipodum,Sprattus antipodum,Sprattus antipodum,Sprattus antipodum,New Zealand blueback sprat,2413446,691801,accepted,272280,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus
Ethmidium maculatum,Ethmidium maculatum,Ethmidium maculatum,Ethmidium maculatum,Ethmidium maculatum,Pacific menhaden,2413280,691795,accepted,280726,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Ethmidium
Gilchristella aestuaria,Gilchristella aestuaria,Gilchristella aestuaria,Gilchristella aestuaria,Gilchristella aestuaria,Gilchrist's round herring,2413155,521029,accepted,277204,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Ehiravidae,Gilchristella
Coilia mystus,Coilia mystus,Coilia mystus,Coilia mystus,Coilia mystus,Osbeck's grenadier anchovy,2413718,286537,accepted,279082,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Setipinna taty,Setipinna taty,Setipinna taty,Setipinna taty,Setipinna taty,scaly hairfin anchovy,2413827,411569,accepted,282768,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Setipinna
Coilia lindmani,Coilia lindmani,Coilia cf. lindmani KAUM:I:34161,Coilia lindmani,NA,NA,2413738,NA,accepted,279080,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Coilia lindmani,Coilia lindmani,Coilia lindmani,Coilia lindmani,Coilia lindmani,Lindman's grenadier anchovy,2413738,686568,accepted,279080,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Coilia grayii,Coilia grayii,Coilia grayii,Coilia grayii,Coilia grayii,Gray's grenadier anchovy,2413736,363190,accepted,279079,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Coilia nasus,Coilia nasus,Coilia nasus,Coilia nasus,Coilia nasus,Japanese grenadier anchovy,2413717,365059,accepted,279083,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Coilia brachygnathus,Coilia brachygnathus,Coilia brachygnathus,Coilia brachygnathus,Coilia brachygnathus,Yangtse grenadier anchovy,2413734,411919,accepted,279077,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Gudusia chapra,Gudusia chapra,Gudusia chapra,Gudusia chapra,Gudusia chapra,Indian river shad,2413051,691797,accepted,742989,accepted,0,Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Gudusia
Prochilodus harttii,Prochilodus harttii,Prochilodus harttii,NA,NA,NA,NA,NA,NA,1020334,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Prochilodus lineatus,Prochilodus lineatus,Prochilodus lineatus,Prochilodus lineatus,Prochilodus lineatus,curimbata,2352154,27695,accepted,1016626,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Prochilodus costatus,Prochilodus costatus,Prochilodus costatus,Prochilodus costatus,Prochilodus costatus,,2352169,357590,accepted,1020354,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Prochilodus argenteus,Prochilodus argenteus,Prochilodus argenteus,Prochilodus argenteus,Prochilodus argenteus,,2352177,370024,accepted,1022670,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Elachocharax pulcher,Elachocharax pulcher,Elachocharax pulcher,Elachocharax pulcher,Elachocharax pulcher,,2352424,1633416,accepted,1013488,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Crenuchidae,Elachocharax
Prochilodus nigricans,Prochilodus nigricans,Prochilodus nigricans,Prochilodus nigricans,Prochilodus nigricans,black prochilodus,2352160,148991,accepted,1011318,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Conocara murrayi,Conocara murrayi,Conocara murrayi,Conocara murrayi,Conocara murrayi,Murray's smooth-head,2410757,492037,accepted,126697,accepted,0,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Conocara
Barbucca diabolica,Barbucca diabolica,Barbucca diabolica,Barbucca diabolica,Barbucca diabolica,,2358756,425500,accepted,1011539,accepted,1,Animalia,Chordata,Teleostei,Cypriniformes,Barbuccidae,Barbucca
Liniparhomaloptera disparis,Liniparhomaloptera disparis,Liniparhomaloptera disparis disparis,Liniparhomaloptera disparis disparis,Liniparhomaloptera disparis disparis,,6167708,241465,synonym,293622,unaccepted,0,Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Liniparhomaloptera
Prochilodus vimboides,Prochilodus vimboides,Prochilodus vimboides,Prochilodus vimboides,Prochilodus vimboides,,2352171,1836194,accepted,1018422,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Semaprochilodus sp. CBM:ZF:13710,NA,Semaprochilodus sp. CBM:ZF:13710,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Semaprochilodus
Semaprochilodus insignis,Semaprochilodus insignis,Semaprochilodus insignis,Semaprochilodus insignis,Semaprochilodus insignis,,2352126,642563,accepted,1018426,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Semaprochilodus
Copella arnoldi,Copella arnoldi,Copella arnoldi,Copella arnoldi,Copella arnoldi,splash tetra,2355707,1633426,accepted,1017646,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Lebiasinidae,Copella
Yunnanilus longibarbatus,Yunnanilus longibarbatus,Yunnanilus longibarbatus,Yunnanilus longibarbatus,Yunnanilus longibarbatus,,2358265,2849534,accepted,1008656,accepted,1,Animalia,Chordata,Teleostei,Cypriniformes,Nemacheilidae,Yunnanilus
