species,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxonID,bold_id,ncbi_id
Clupea pallasii,Actinopteri,Clupeiformes,Clupeidae,Clupea,TRUE,TRUE,TRUE,151159,151159,33891,30724
Oncorhynchus keta,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127183,127183,88757,8018
Oncorhynchus nerka,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,254569,254569,88747,8023
Thaleichthys pacificus,Actinopteri,Osmeriformes,Osmeridae,Thaleichthys,TRUE,TRUE,TRUE,282959,282959,10698,240832
Glyptocephalus zachirus,Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,TRUE,FALSE,FALSE,274287,274287,17183,195612
Atheresthes stomias,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279792,279792,11835,428034
Oncorhynchus gorbuscha,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127182,127182,48257,8017
Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,299224,299224,319303,7798
Microstomus pacificus,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,TRUE,FALSE,FALSE,274294,274294,11827,89058
Gadus chalcogrammus,Actinopteri,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,300735,300735,360473,1042646
Hydrolagus colliei,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,TRUE,FALSE,FALSE,271406,271406,33914,7873
Sebastes alutus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,254573,254573,10785,72055
Oncorhynchus kisutch,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127184,127184,23772,8019
Oncorhynchus tshawytscha,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,158075,158075,10566,74940
Parophrys vetulus,Actinopteri,Pleuronectiformes,Pleuronectidae,Parophrys,TRUE,FALSE,FALSE,254393,254393,33893,172659
Sebastolobus alascanus,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282740,282740,10767,72110
Hippoglossoides elassodon,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,TRUE,FALSE,FALSE,274289,274289,15397,30945
Merluccius productus,Actinopteri,Gadiformes,Merlucciidae,Merluccius,TRUE,TRUE,FALSE,272458,272458,11764,89952
Gadus macrocephalus,Actinopteri,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,254538,254538,19837,80720
Anoplopoma fimbria,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,TRUE,FALSE,FALSE,159463,159463,13145,229290
Sebastes ruberrimus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274844,274844,10776,72098
Sebastes maliger,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274815,274815,52780,72084
Lyopsetta exilis,Actinopteri,Pleuronectiformes,Pleuronectidae,Lyopsetta,TRUE,FALSE,FALSE,281452,281452,15399,195626
Sebastes brevispinis,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274778,274778,10780,72060
Lepidopsetta bilineata,Actinopteri,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281305,281305,33919,NA
Sebastes zacentrus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274869,274869,10784,72108
Citharichthys sordidus,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,TRUE,FALSE,FALSE,275694,275694,11803,319774
Sebastes babcocki,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274775,274775,10786,72059
Sebastes proriger,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274838,274838,10779,394703
Sebastes flavidus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274795,274795,10709,72076
Sebastes elongatus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274788,274788,10708,72070
Eopsetta jordani,Actinopteri,Pleuronectiformes,Pleuronectidae,Eopsetta,TRUE,FALSE,FALSE,280690,280690,11822,195609
Ophiodon elongatus,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,TRUE,FALSE,FALSE,240745,240745,17835,225387
Hippoglossus stenolepis,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossus,TRUE,FALSE,FALSE,274290,274290,60118,195615
Sebastes helvomaculatus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274799,274799,10710,72079
Ammodytes hexapterus,Actinopteri,Perciformes,Ammodytidae,Ammodytes,TRUE,TRUE,FALSE,254510,254510,101085,476914
Sebastes pinniger,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274836,274836,10778,72094
Stenobrachius leucopsarus,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254363,254363,33993,91658
Sebastes diploproa,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274787,274787,10781,72069
Lycodes pacificus,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,274116,274116,11376,1772091
Hexagrammos decagrammus,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240732,240732,33916,274741
Beringraja rhina,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1461133,1461133,NA,NA
Sebastes reedi,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274840,274840,10787,394704
Microgadus proximus,Actinopteri,Gadiformes,Gadidae,Microgadus,TRUE,TRUE,FALSE,275873,275873,15708,80721
Sebastes mystinus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274823,274823,160596,72088
Psettichthys melanostictus,Actinopteri,Pleuronectiformes,Pleuronectidae,Psettichthys,TRUE,FALSE,FALSE,282396,282396,33913,195639
Sebastes crameri,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274785,274785,10788,72067
Sebastolobus altivelis,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282741,282741,33887,8110
Leuroglossus schmidti,Actinopteri,Argentiniformes,Bathylagidae,Leuroglossus,TRUE,FALSE,FALSE,254551,254551,99720,557346
Scomber japonicus,Actinopteri,Scombriformes,Scombridae,Scomber,TRUE,FALSE,FALSE,127022,127022,11602,13676
Cymatogaster aggregata,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,TRUE,TRUE,FALSE,280461,280461,11121,50794
Tarletonbeania crenularis,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,TRUE,FALSE,FALSE,282927,282927,125484,91660
Mallotus villosus,Actinopteri,Osmeriformes,Osmeridae,Mallotus,TRUE,TRUE,TRUE,126735,126735,34580,30960
Embiotoca lateralis,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,TRUE,FALSE,FALSE,240740,240740,76474,229144
Sebastes caurinus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274780,274780,33903,72063
Isopsetta isolepis,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,TRUE,FALSE,FALSE,281189,281189,101087,195617
Porichthys notatus,Actinopteri,Batrachoidiformes,Batrachoididae,Porichthys,TRUE,FALSE,FALSE,275658,275658,20115,45384
Ammodytes personatus,Actinopteri,Perciformes,Ammodytidae,Ammodytes,TRUE,FALSE,FALSE,272967,272967,201830,215382
Squalus acanthias,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,105923,105923,12653,7797
Lepidopsetta polyxystra,Actinopteri,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281307,281307,101140,433389
Platichthys stellatus,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,TRUE,TRUE,TRUE,154781,154781,33910,195632
Sebastes paucispinis,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274833,274833,10777,72093
Beringraja binoculata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1021330,1021330,NA,NA
Sebastes atrovirens,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274772,274772,160603,72056
Sebastes entomelas,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274791,274791,16661,72073
Sebastes wilsoni,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274868,274868,10713,72107
Sebastes jordani,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274806,274806,10712,72081
Coryphaenoides acrolepis,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272313,272313,33884,83390
Cryptacanthodes aleutensis,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276390,276390,11136,557343
Sebastes borealis,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274777,274777,33881,394687
Hemilepidotus hemilepidotus,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,254521,254521,125589,433390
Pleuronichthys decurrens,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,TRUE,FALSE,FALSE,282292,282292,34549,320379
Sebastes nebulosus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274824,274824,NA,394698
Chauliodus macouni,Actinopteri,Stomiiformes,Stomiidae,Chauliodus,TRUE,FALSE,FALSE,275055,275055,33959,302055
Bathyagonus alascanus,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254503,254503,101083,433408
Cololabis saira,Actinopteri,Beloniformes,Scomberesocidae,Cololabis,TRUE,FALSE,FALSE,280366,280366,30380,129043
Sebastes melanops,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274817,274817,10711,72085
Phanerodon vacca,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Phanerodon,TRUE,FALSE,FALSE,1577347,1577347,NA,NA
Pleuronectes quadrituberculatus,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronectes,TRUE,FALSE,FALSE,254564,254564,122622,641111
Bathyraja interrupta,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271515,271515,33927,341244
Diaphus theta,Actinopteri,Myctophiformes,Myctophidae,Diaphus,TRUE,FALSE,FALSE,272694,272694,34004,91653
Poroclinus rothrocki,Actinopteri,Perciformes,Stichaeidae,Poroclinus,TRUE,FALSE,FALSE,254385,254385,14797,557414
Sebastes variegatus,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274863,274863,34014,72106
Leptoclinus maculatus,Actinopteri,Perciformes,Stichaeidae,Leptoclinus,TRUE,FALSE,FALSE,127072,127072,34578,980417
Citharichthys stigmaeus,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,TRUE,FALSE,FALSE,275696,275696,125498,319775
Protomyctophum thompsoni,Actinopteri,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,272732,272732,140423,123331
Sebastes chrysomelas,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,240737,240737,160607,394688
Lumpenus sagitta,Actinopteri,Perciformes,Stichaeidae,Lumpenus,TRUE,FALSE,FALSE,254579,254579,13990,428036
Radulinus asprellus,Actinopteri,Perciformes,Cottidae,Radulinus,TRUE,FALSE,FALSE,282541,282541,34012,274768
Embiotoca jacksoni,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,TRUE,FALSE,FALSE,240746,240746,140351,100190
Engraulis mordax,Actinopteri,Clupeiformes,Engraulidae,Engraulis,TRUE,FALSE,FALSE,272286,272286,33922,239368
Alosa sapidissima,Actinopteri,Clupeiformes,Clupeidae,Alosa,TRUE,TRUE,TRUE,158670,158670,13393,34773
Coryphaenoides cinereus,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272326,272326,33960,83391
Salmo salar,Actinopteri,Salmoniformes,Salmonidae,Salmo,TRUE,TRUE,TRUE,127186,127186,30453,8030
Scorpaenichthys marmoratus,Actinopteri,Perciformes,Cottidae,Scorpaenichthys,TRUE,FALSE,FALSE,282726,282726,76463,NA
