species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Pandalus jordani,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,515469,515469,15889,397977
Pandalus dispar,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,1337983,1337983,NA,397964
Pandalus borealis,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,107649,107649,19213,6703
Carcinus maenas,NA,Species,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,TRUE,TRUE,FALSE,107381,107381,28231,6759
Pandalus hypsinotus,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,515467,515467,9232,242778
Pandalus platyceros,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,423632,423632,15894,263425
Pandalus danae,NA,Species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,515462,515462,15897,397975
Heteropolypus ritteri,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Heteropolypus,TRUE,NA,FALSE,724715,724715,NA,NA
Metacarcinus gracilis,NA,Species,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,TRUE,FALSE,FALSE,440387,440387,201873,88206
Cancer productus,NA,Species,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,TRUE,FALSE,FALSE,440382,440382,15841,88209
Metacarcinus magister,NA,Species,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,TRUE,FALSE,FALSE,440388,440388,201717,29965
Panopea generosa,NA,Species,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Panopea,TRUE,FALSE,FALSE,545994,545994,652946,1049056
Pisaster ochraceus,NA,Species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,TRUE,FALSE,FALSE,240755,240755,25299,7612
Umbellula lindahli,NA,Species,Cnidaria,Anthozoa,Scleralcyonacea,Umbellulidae,Umbellula,TRUE,FALSE,FALSE,128531,128531,516144,NA
