region,gbifIDs,approximate_match,number_matches,kingdom,phylum,class,order,family,genus,species
North Central Pacific Gyre,11954282,TRUE,2,Animalia,Chordata,NA,Lophiiformes,Antennariidae,Antennatus,Antennatus coccineus
California Current,2369165,FALSE,1,Animalia,Chordata,NA,Beloniformes,Belonidae,Ablennes,Ablennes hians
North Central Pacific Gyre,2369165,FALSE,1,Animalia,Chordata,NA,Beloniformes,Belonidae,Ablennes,Ablennes hians
North Central Pacific Gyre,2398692,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf abdominalis
Southern California Bight,2398662,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf declivifrons
California Current,2398662,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf declivifrons
California Current,2398623,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis
Southern California Bight,2398623,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis
North Central Pacific Gyre,2398623,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis
California Current,2398628,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf septemfasciatus
North Central Pacific Gyre,2398682,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf sordidus
California Current,2398672,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf troschelii
North Central Pacific Gyre,2398634,FALSE,1,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf vaigiensis
California Current,2345950,FALSE,1,Animalia,Chordata,NA,Ophidiiformes,Ophidiidae,Abyssobrotula,Abyssobrotula galatheae
California Current,2381392,FALSE,1,Animalia,Chordata,NA,Perciformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria macrospilus
North Central Pacific Gyre,2374069,FALSE,1,Animalia,Chordata,NA,Perciformes,Scombridae,Acanthocybium,Acanthocybium solandri
Southern California Bight,2375974,FALSE,1,Animalia,Chordata,NA,Perciformes,Gobiidae,Acanthogobius,Acanthogobius flavimanus
California Current,2375974,FALSE,1,Animalia,Chordata,NA,Perciformes,Gobiidae,Acanthogobius,Acanthogobius flavimanus
Northern California,2375974,FALSE,1,Animalia,Chordata,NA,Perciformes,Gobiidae,Acanthogobius,Acanthogobius flavimanus
