scientificName,taxonID,taxonRank,kingdom,phylum,class,order,family,genus,species,province
Porifera,558,Phylum,Animalia,Porifera,NA,NA,NA,NA,NA,California Current
Pandalus jordani,515469,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus jordani,California Current
Pisces,11676,Superclass,Animalia,Chordata,NA,NA,NA,NA,NA,California Current
Megaptera novaeangliae,137092,Species,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,Megaptera novaeangliae,California Current
Heteropolypus ritteri,724715,Species,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Heteropolypus,Heteropolypus ritteri,California Current
Animalia,2,Kingdom,Animalia,NA,NA,NA,NA,NA,NA,California Current
Pennatuloidea,1609360,Superfamily,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,NA,NA,NA,California Current
Egregia menziesii,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,Egregia menziesii,California Current
Laminaria farlowii,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria farlowii,California Current
Nereocystis luetkeana,240752,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,Nereocystis luetkeana,California Current
Laminaria setchellii,240748,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria setchellii,California Current
Laminaria,144199,Genus,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,NA,California Current
Dictyoneurum californicum,372515,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Dictyoneurum,Dictyoneurum californicum,California Current
Alaria marginata,371791,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,Alaria marginata,California Current
Pleurophycus gardneri,372517,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pleurophycus,Pleurophycus gardneri,California Current
Costaria costata,371985,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Costaria,Costaria costata,California Current
Neoagarum fimbriatum,1313053,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Agaraceae,Neoagarum,Neoagarum fimbriatum,California Current
Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,California Current
Larus occidentalis,343916,Species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus occidentalis,California Current
Biota,1,NA,NA,NA,NA,NA,NA,NA,NA,California Current
Eschrichtius robustus,137112,Species,Animalia,Chordata,Mammalia,Cetartiodactyla,Eschrichtiidae,Eschrichtius,Eschrichtius robustus,California Current
Puffinus griseus,137202,Species,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus griseus,California Current
Sebastes,126175,Genus,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,NA,California Current
Uria aalge,137133,Species,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,Uria aalge,California Current
Aegina,116994,Genus,Animalia,Cnidaria,Hydrozoa,Narcomedusae,Aeginidae,Aegina,NA,California Current
Farrea occa,134391,Species,Animalia,Porifera,Hexactinellida,Sceptrulophora,Farreidae,Farrea,Farrea occa,California Current
Malacalcyonacea,1609357,Order,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,NA,NA,NA,California Current
Funiculina,128490,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Funiculinidae,Funiculina,NA,California Current
Plexauridae,125277,Family,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Plexauridae,NA,NA,California Current
Ptychoramphus aleuticus,344115,Species,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Ptychoramphus,Ptychoramphus aleuticus,California Current
Umbellula lindahli,128531,Species,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Umbellulidae,Umbellula,Umbellula lindahli,California Current
Paragorgia,125326,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Paragorgia,NA,California Current
Sebastes mystinus,274823,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mystinus,California Current
Keratoisis,125306,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Keratoisididae,Keratoisis,NA,California Current
Phalaropus,137049,Genus,Animalia,Chordata,Aves,Charadriiformes,Phalaropodidae,Phalaropus,NA,California Current
Microstomus pacificus,274294,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,California Current
Staurocalyptus,464585,Genus,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Staurocalyptus,NA,California Current
Anoplopoma fimbria,159463,Species,Animalia,Chordata,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,California Current
Thaleichthys pacificus,282959,Species,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,California Current
Acanthoptilum,267189,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Virgulariidae,Acanthoptilum,NA,California Current
Glyptocephalus zachirus,274287,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,California Current
Bacteria,6,Kingdom,Bacteria,NA,NA,NA,NA,NA,NA,California Current
Larus californicus,343907,Species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus californicus,California Current
Oceanodroma leucorhoa,137192,Species,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma leucorhoa,California Current
Sebastolobus alascanus,282740,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastolobus,Sebastolobus alascanus,California Current
Balaenoptera musculus,137090,Species,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera musculus,California Current
Pisaster ochraceus,240755,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,California Current
Sebastes alutus,254573,Species,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes alutus,California Current
Pennatula,128495,Genus,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Pennatulidae,Pennatula,NA,California Current
Trissopathes pseudotristicha,291243,Species,Animalia,Cnidaria,Anthozoa,Antipatharia,Cladopathidae,Trissopathes,Trissopathes pseudotristicha,California Current
Phoebastria immutabilis,344104,Species,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria immutabilis,California Current
Nanomia,135392,Genus,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Nanomia,NA,California Current
Fulmarus glacialis,137195,Species,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,Fulmarus glacialis,California Current
Merluccius productus,272458,Species,Animalia,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,California Current
Dinophyceae,19542,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,California Current
Embiotoca lateralis,240740,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,Embiotoca lateralis,California Current
Atheresthes stomias,279792,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes stomias,California Current
