found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
Appendicularia,Appendicularia,accepted,NA,NA,genus,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,TRUE,NA,NA,NA,103357,NA,NA,103357
Salpa,Salpa,accepted,NA,NA,genus,Chordata,Thaliacea,Salpida,Salpidae,Salpa,TRUE,FALSE,FALSE,NA,137233,NA,NA,137233
Metridia,Metridia,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,TRUE,FALSE,FALSE,NA,104190,NA,114066,104190
Bathyteuthis abyssicola,Bathyteuthis abyssicola,accepted,Bathyteuthis abyssicola,NA,species,Mollusca,Cephalopoda,Bathyteuthida,Bathyteuthidae,Bathyteuthis,TRUE,NA,FALSE,138848,138848,33338,61693,137694
Rhincalanus,Rhincalanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Rhincalanidae,Rhincalanus,TRUE,FALSE,FALSE,NA,104172,NA,201686,104172
Pleuromamma,Pleuromamma,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma,TRUE,FALSE,FALSE,NA,104191,NA,148583,104191
Galiteuthis glacialis,Galiteuthis glacialis,accepted,Galiteuthis glacialis,NA,species,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis,TRUE,NA,FALSE,325297,325297,156833,NA,137848
Gaetanus,Gaetanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Aetideidae,Gaetanus,TRUE,FALSE,FALSE,NA,104121,NA,202828,104121
Euchaeta,Euchaeta,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,TRUE,FALSE,FALSE,NA,104174,NA,117960,104174
Discoconchoecia elegans,Discoconchoecia elegans,accepted,Discoconchoecia elegans,NA,species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,TRUE,NA,FALSE,127782,127782,249212,702397,127536
Doliolum,Doliolum,accepted,NA,NA,genus,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolum,TRUE,NA,NA,NA,137222,NA,76840,137222
Boroecia antipoda,Boroecia antipoda,accepted,Boroecia antipoda,NA,species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Boroecia,TRUE,NA,FALSE,172467,172467,249210,1774331,127531
Metaconchoecia skogsbergi,Metaconchoecia skogsbergi,accepted,Metaconchoecia skogsbergi,NA,species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Metaconchoecia,TRUE,NA,FALSE,127814,127814,249269,1774301,127546
Haloptilus,Haloptilus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,TRUE,FALSE,FALSE,NA,104140,NA,201674,104140
Candacia,Candacia,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,TRUE,FALSE,FALSE,NA,104157,NA,207966,104157
Scaphocalanus,Scaphocalanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scaphocalanus,TRUE,FALSE,FALSE,NA,104228,NA,261846,104228
Clausocalanus,Clausocalanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,TRUE,FALSE,FALSE,NA,104161,NA,148995,104161
Lucicutia,Lucicutia,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,TRUE,FALSE,FALSE,NA,104183,NA,544704,104183
Alacia hettacra,Alacia hettacra,accepted,Alacia hettacra,NA,species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Alacia,TRUE,NA,FALSE,172456,172456,249207,1302798,127528
Spinocalanus,Spinocalanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Spinocalanidae,Spinocalanus,TRUE,FALSE,FALSE,NA,104236,NA,201681,104236
Gaetanus tenuispinus,Gaetanus tenuispinus,accepted,Gaetanus tenuispinus,NA,species,Arthropoda,Copepoda,Calanoida,Aetideidae,Gaetanus,TRUE,FALSE,FALSE,237965,237965,13524,201684,104121
Cornucalanus,Cornucalanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Phaennidae,Cornucalanus,TRUE,FALSE,FALSE,NA,104200,NA,NA,104200
Aetideus,Aetideus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,TRUE,FALSE,FALSE,NA,104112,NA,507462,104112
Pseudochirella,Pseudochirella,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Aetideidae,Pseudochirella,TRUE,FALSE,FALSE,NA,104126,NA,1267151,104126
Obtusoecia antarctica,Obtusoecia antarctica,accepted,Obtusoecia antarctica,NA,species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Obtusoecia,TRUE,NA,FALSE,176554,176554,249266,1774358,127550
Conchoecissa symmetrica,Conchoecissa symmetrica,accepted,Conchoecissa symmetrica,NA,species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecissa,TRUE,NA,FALSE,127780,127780,249280,1774311,127535
Euaugaptilus,Euaugaptilus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Augaptilidae,Euaugaptilus,TRUE,FALSE,FALSE,NA,104139,NA,503072,104139
Onchocalanus,Onchocalanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Phaennidae,Onchocalanus,TRUE,FALSE,FALSE,NA,104201,NA,2056990,104201
Scolecithricella,Scolecithricella,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,TRUE,FALSE,FALSE,NA,104229,NA,121143,104229
Calanus,Calanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,TRUE,FALSE,FALSE,NA,104152,NA,6836,104152
Undinella,Undinella,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Tharybidae,Undinella,TRUE,FALSE,FALSE,NA,104247,NA,503066,104247
Euchirella,Euchirella,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella,TRUE,FALSE,FALSE,NA,104120,NA,498139,104120
Pseudochirella mawsoni,Pseudochirella mawsoni,accepted,Pseudochirella mawsoni,NA,species,Arthropoda,Copepoda,Calanoida,Aetideidae,Pseudochirella,TRUE,FALSE,FALSE,345267,345267,NA,NA,104126
Primnoa notialis,Primnoa notialis,accepted,Primnoa notialis,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Primnoa,TRUE,NA,FALSE,286538,286538,NA,2099522,125321
Fiona,Fiona,accepted,NA,NA,genus,Mollusca,Gastropoda,Nudibranchia,Fionidae,Fiona,TRUE,NA,NA,NA,138007,NA,1287637,138007
