verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Gadus chalcogrammus,Gadus chalcogrammus,accepted,Gadus chalcogrammus,NA,species,Actinopteri,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,300735,300735,360473,1042646,Aleutian Islands
Hippoglossus stenolepis,Hippoglossus stenolepis,accepted,Hippoglossus stenolepis,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossus,TRUE,FALSE,FALSE,274290,274290,60118,195615,Aleutian Islands
Gadus macrocephalus,Gadus macrocephalus,accepted,Gadus macrocephalus,NA,species,Actinopteri,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,254538,254538,19837,80720,Aleutian Islands
Atheresthes stomias,Atheresthes stomias,accepted,Atheresthes stomias,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279792,279792,11835,428034,Aleutian Islands
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,accepted,Reinhardtius hippoglossoides,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Reinhardtius,TRUE,FALSE,FALSE,127144,127144,34619,111784,Aleutian Islands
Hippoglossoides elassodon,Hippoglossoides elassodon,accepted,Hippoglossoides elassodon,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,TRUE,FALSE,FALSE,274289,274289,15397,30945,Aleutian Islands
Sebastes polyspinis,Sebastes polyspinis,accepted,Sebastes polyspinis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274837,274837,140837,394702,Aleutian Islands
Pleurogrammus monopterygius,Pleurogrammus monopterygius,accepted,Pleurogrammus monopterygius,NA,species,Actinopteri,Perciformes,Hexagrammidae,Pleurogrammus,TRUE,FALSE,FALSE,282289,282289,110724,192379,Aleutian Islands
Anoplopoma fimbria,Anoplopoma fimbria,accepted,Anoplopoma fimbria,NA,species,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,TRUE,FALSE,FALSE,159463,159463,13145,229290,Aleutian Islands
Sebastes alutus,Sebastes alutus,accepted,Sebastes alutus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,254573,254573,10785,72055,Aleutian Islands
