verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
NA,Thala,accepted,NA,NA,genus,Mollusca,Gastropoda,Neogastropoda,Costellariidae,Thala,TRUE,NA,NA,NA,205783,NA,1719476,205783
Enteroctopus dofleini,Enteroctopus dofleini,accepted,Enteroctopus dofleini,NA,species,Mollusca,Cephalopoda,Octopoda,Enteroctopodidae,Enteroctopus,TRUE,NA,FALSE,342305,342305,160577,267067,341422
NA,Plumarella,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Plumarella,TRUE,NA,NA,NA,177839,NA,500558,177839
Radicipes stonei,Radicipes stonei,accepted,Radicipes stonei,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Chrysogorgiidae,Radicipes,TRUE,FALSE,FALSE,1034980,1034980,NA,2086588,125297
Mycale (Mycale) loveni,Mycale (Mycale) loveni,accepted,Mycale (Mycale) loveni,NA,species,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,TRUE,FALSE,FALSE,168642,168642,NA,NA,131907
NA,Thouarella,accepted,NA,NA,genus,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Thouarella,TRUE,NA,NA,NA,125323,NA,360011,125323
Aphrocallistes vastus,Aphrocallistes vastus,accepted,Aphrocallistes vastus,NA,species,Porifera,Hexactinellida,Sceptrulophora,Aphrocallistidae,Aphrocallistes,TRUE,FALSE,FALSE,171632,171632,25624,83887,132099
NA,Tethya,accepted,NA,NA,genus,Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,TRUE,FALSE,FALSE,NA,132077,NA,34493,132077
NA,Stylaster,accepted,NA,NA,genus,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylaster,TRUE,TRUE,NA,NA,117246,NA,520368,117246
Halichondria (Eumastia) sitiens,Halichondria (Eumastia) sitiens,accepted,Halichondria (Eumastia) sitiens,NA,species,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,TRUE,FALSE,FALSE,165789,165789,NA,NA,131807
