"","accepted_name","verbatim_species","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","region","fishbase_name"
"1","Gadus chalcogrammus","Gadus chalcogrammus","accepted","Gadus chalcogrammus",NA,"species","Actinopteri","Gadiformes","Gadidae","Gadus",TRUE,TRUE,FALSE,300735,1042646,"Aleutian Islands","Gadus chalcogrammus"
"2","Hippoglossus stenolepis","Hippoglossus stenolepis","accepted","Hippoglossus stenolepis",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus",TRUE,FALSE,FALSE,274290,195615,"Aleutian Islands","Hippoglossus stenolepis"
"3","Gadus macrocephalus","Gadus macrocephalus","accepted","Gadus macrocephalus",NA,"species","Actinopteri","Gadiformes","Gadidae","Gadus",TRUE,TRUE,FALSE,254538,80720,"Aleutian Islands","Gadus macrocephalus"
"4","Atheresthes stomias","Atheresthes stomias","accepted","Atheresthes stomias",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Atheresthes",TRUE,FALSE,FALSE,279792,428034,"Aleutian Islands","Atheresthes stomias"
"5","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","accepted","Reinhardtius hippoglossoides",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Reinhardtius",TRUE,FALSE,FALSE,127144,111784,"Aleutian Islands","Reinhardtius hippoglossoides"
"6","Hippoglossoides elassodon","Hippoglossoides elassodon","accepted","Hippoglossoides elassodon",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides",TRUE,FALSE,FALSE,274289,30945,"Aleutian Islands","Hippoglossoides elassodon"
"7","Sebastes polyspinis","Sebastes polyspinis","accepted","Sebastes polyspinis",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274837,394702,"Aleutian Islands","Sebastes polyspinis"
"8","Pleurogrammus monopterygius","Pleurogrammus monopterygius","accepted","Pleurogrammus monopterygius",NA,"species","Actinopteri","Perciformes","Hexagrammidae","Pleurogrammus",TRUE,FALSE,FALSE,282289,192379,"Aleutian Islands","Pleurogrammus monopterygius"
"9","Anoplopoma fimbria","Anoplopoma fimbria","accepted","Anoplopoma fimbria",NA,"species","Actinopteri","Perciformes","Anoplopomatidae","Anoplopoma",TRUE,FALSE,FALSE,159463,229290,"Aleutian Islands","Anoplopoma fimbria"
"10","Sebastes alutus","Sebastes alutus","accepted","Sebastes alutus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,254573,72055,"Aleutian Islands","Sebastes alutus"
