Sample_ID,Sample Type,DNA Extraction Date,Extraction Blank,QR,Collection Date,Time,Station,Program,Depth,Replicate,Sounding,CTD Bottle,Draft,CastID,SampleID,Lat,,Lat_dec,Long,,Long_dec,Notes,,
GDS001-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS001,Aug 7 2021,0.643055556,GC_06,GC,Bottom,1,217,1,3.1,171a001,485501,44,26.8831,44.44805167,62,9.0466,-62.15077667,First cast,,
GDS002-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS002,Aug 7 2021,0.643055556,GC_06,GC,175,1,217,2,3.1,171a001,485502,44,26.8831,44.44805167,62,9.0466,-62.15077667,1-2m swell ,,
GDS003-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS003,Aug 7 2021,0.643055556,GC_06,GC,150,1,217,3,3.1,171a001,485503,44,26.8831,44.44805167,62,9.0466,-62.15077667,Cable warp did bring the CTD off the bottom target depth. ,,
GDS004-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS004,Aug 7 2021,0.643055556,GC_06,GC,100,1,217,4,3.1,171a001,485504,44,26.8831,44.44805167,62,9.0466,-62.15077667,Last cast extended from 205 to 215 wire length,,
GDS005-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS005,Aug 7 2021,0.643055556,GC_06,GC,50,1,217,5,3.1,171a001,485505,44,26.8831,44.44805167,62,9.0466,-62.15077667,,,
GDS006-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS006,Aug 7 2021,0.643055556,GC_06,GC,Surface,1,217,6,3.1,171a001,485506,44,26.8831,44.44805167,62,9.0466,-62.15077667,,,
GDS007-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS007,Aug 7 2021,0.669444444,GC_06,GC,Bottom,2,216,1,3.1,171b001,485507,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS008-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS008,Aug 7 2021,0.669444444,GC_06,GC,175,2,216,2,3.1,171b001,485508,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS009-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS009,Aug 7 2021,0.669444444,GC_06,GC,150,2,216,3,3.1,171b001,485509,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS010-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS010,Aug 7 2021,0.669444444,GC_06,GC,100,2,216,4,3.1,171b001,485510,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS011-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS011,Aug 7 2021,0.669444444,GC_06,GC,50,2,216,5,3.1,171b001,485511,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS012-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS012,Aug 7 2021,0.669444444,GC_06,GC,Surface,2,216,6,3.1,171b001,485512,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS013-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS013,Aug 7 2021,0.704166667,GC_06,GC,Bottom,3,216.6,1,3.1,171c001,485513,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS014-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS014,Aug 7 2021,0.704166667,GC_06,GC,175,3,216.6,2,3.1,171c001,485514,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS015-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS015,Aug 7 2021,0.704166667,GC_06,GC,150,3,216.6,3,3.1,171c001,485515,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS016-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS016,Aug 7 2021,0.704166667,GC_06,GC,100,3,216.6,4,3.1,171c001,485516,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
