#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	species	Coccolithus	Eukaryota	Haptista	Haptophyta	Coccolithales	Coccolithaceae	unknown genus	Coccolithus	best hit
ASV10	species	Synchaeta vorax	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	Synchaeta	Synchaeta vorax	best hit
ASV100	species	Balanus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	unknown genus	Balanus	best hit
ASV1000	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV10004	species	Phascolosoma agassizii	Eukaryota	Sipuncula	unknown class	Phascolosomatiformes	Phascolosomatidae	Phascolosoma	Phascolosoma agassizii	best hit
ASV10005	species	Pleurobrachia bachei	Eukaryota	Ctenophora	Tentaculata	Cydippida	Pleurobrachiidae	Pleurobrachia	Pleurobrachia bachei	best hit
ASV10008	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV1001	species	Pseudocalanus sp. PsAkkeshi1	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus sp. PsAkkeshi1	best hit
ASV10011	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10012	species	Paracalanus parvus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus parvus	lca
ASV10023	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10025	species	Candidatus Pelagibacter giovannonii	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter giovannonii	lca
ASV10026	species	Pseudocalanus acuspes	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes	best hit
ASV1003	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10031	class	Hexanauplia	Eukaryota	Arthropoda	Hexanauplia	no identification	no identification	no identification	no identification	lca
ASV10033	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10034	family	Clausocalanidae	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	no identification	no identification	lca
ASV10036	family	Clausocalanidae	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	no identification	no identification	lca
ASV1004	species	Polynoidae	Eukaryota	Annelida	Polychaeta	Phyllodocida	unknown family	unknown genus	Polynoidae	best hit
ASV10041	species	Thalassiosira sp. A11 LG-2014	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira sp. A11 LG-2014	lca
ASV10042	species	Rhizosolenia setigera	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia setigera	best hit
ASV10043	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV1005	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10051	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10052	family	Clausocalanidae	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	no identification	no identification	lca
ASV10054	species	Phaeocystis globosa	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa	lca
ASV10055	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10056	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	lca
ASV10059	species	Pseudocalanus sp. PsAkkeshi1	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus sp. PsAkkeshi1	lca
ASV10062	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV10063	species	Protoperidinium cf. depressum	Eukaryota	Dinophyceae	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium cf. depressum	best hit
ASV10064	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10069	species	Synchaeta triophthalma	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	Synchaeta	Synchaeta triophthalma	lca
ASV1007	species	Balanus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	unknown genus	Balanus	best hit
ASV10071	species	Coccolithus	Eukaryota	Haptista	Haptophyta	Coccolithales	Coccolithaceae	unknown genus	Coccolithus	best hit
ASV10076	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV10081	species	Synchaeta vorax	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	Synchaeta	Synchaeta vorax	lca
ASV10082	species	Paracalanus sp. C AC-2013	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013	best hit
ASV10084	species	Haliotis kamtschatkana kamtschatkana	Eukaryota	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis kamtschatkana kamtschatkana	best hit
ASV10088	species	uncultured bacterium	Bacteria	unknown phylum	unknown class	unknown order	unknown family	unknown genus	uncultured bacterium	lca
ASV1009	species	Pseudocalanus sp. PsAkkeshi1	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus sp. PsAkkeshi1	best hit
ASV10098	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	best hit
ASV101	species	Corycaeidae	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	unknown family	unknown genus	Corycaeidae	best hit
ASV1010	species	Podon leuckartii	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	Podon	Podon leuckartii	best hit
ASV10100	species	Synchaeta baltica	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	Synchaeta	Synchaeta baltica	lca
ASV10101	species	Skeletonema japonicum	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema japonicum	best hit
ASV10102	order	Hypocreales	Fungi	Ascomycota	Sordariomycetes	Hypocreales	no identification	no identification	no identification	lca
ASV10103	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10104	species	Laminaria setchellii	Eukaryota	Phaeophyceae	Phaeophyceae	Laminariales	Laminariaceae	Laminaria	Laminaria setchellii	best hit
ASV10105	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	best hit
ASV10106	family	Clausocalanidae	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	no identification	no identification	lca
ASV10107	species	Synchaeta baltica	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	Synchaeta	Synchaeta baltica	lca
ASV10108	species	Chone magna CMC02	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Chone	Chone magna CMC02	best hit
ASV1011	species	Monostilifera	Eukaryota	Nemertea	Enopla	unknown order	unknown family	unknown genus	Monostilifera	best hit
ASV10110	species	Haliclona xena	Eukaryota	Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona xena	best hit
ASV10111	genus	Skeletonema	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	no identification	lca
ASV10112	species	Paracalanus sp. C AC-2013	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013	best hit
ASV1012	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10120	species	Coryne eximia	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Coryne	Coryne eximia	best hit
ASV10124	species	Pseudocalanus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	unknown genus	Pseudocalanus	lca
ASV10125	species	Lottia paradigitalis	Eukaryota	Mollusca	Gastropoda	unknown order	Lottiidae	Lottia	Lottia paradigitalis	best hit
ASV10127	class	Dinophyceae	Eukaryota	Dinophyceae	Dinophyceae	no identification	no identification	no identification	no identification	lca
ASV10128	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV10130	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	lca
ASV10131	species	Synchaeta pectinata	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	Synchaeta	Synchaeta pectinata	lca
ASV10132	species	Prorocentrum sp. S8-82	Eukaryota	Dinophyceae	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum sp. S8-82	best hit
ASV10133	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV10137	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV10139	species	Chiridota albatrossii complex 1 AM-2017	Eukaryota	Echinodermata	Holothuroidea	Apodida	Chiridotidae	Chiridota	Chiridota albatrossii complex 1 AM-2017	best hit
ASV1014	species	Balanus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	unknown genus	Balanus	best hit
ASV10143	family	Clausocalanidae	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	no identification	no identification	lca
ASV10144	species	Ophiura luetkenii	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiuridae	Ophiura	Ophiura luetkenii	best hit
ASV10145	species	Phragmatopoma	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellariidae	unknown genus	Phragmatopoma	best hit
ASV10147	family	Balanidae	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	no identification	no identification	lca
ASV1015	species	Trieres chinensis	Eukaryota	Bacillariophyta	Mediophyceae	Triceratiales	Triceratiaceae	Trieres	Trieres chinensis	best hit
ASV10151	species	Mytilus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	unknown genus	Mytilus	best hit
ASV10154	species	Pseudocalanus sp. PsAkkeshi1	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus sp. PsAkkeshi1	lca
