#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1006	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV102	genus	unknown genus	Eukaryota	Arthropoda	Collembola	Symphypleona	unknown family	unknown genus	no identification	lca
ASV1020	species	Skeletonema japonicum	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema japonicum	best hit
ASV1036	genus	Stigmatoteuthis	Eukaryota	Mollusca	Cephalopoda	Teuthida	Histioteuthidae	Stigmatoteuthis	no identification	lca
ASV1043	order	Hypocreales	Fungi	Ascomycota	Sordariomycetes	Hypocreales	no identification	no identification	no identification	lca
ASV1044	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV107	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1077	species	Leuckartiara longicalcar	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	Leuckartiara	Leuckartiara longicalcar	best hit
ASV1086	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV1097	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1143	species	Poeobius meseres	Eukaryota	Annelida	Polychaeta	Terebellida	Flabelligeridae	Poeobius	Poeobius meseres	best hit
ASV1144	species	Aeginura grimaldii	Eukaryota	Cnidaria	Hydrozoa	Narcomedusae	Aeginidae	Aeginura	Aeginura grimaldii	best hit
ASV1145	species	Dasybranchus sp. DH1	Eukaryota	Annelida	Polychaeta	unknown order	Capitellidae	Dasybranchus	Dasybranchus sp. DH1	best hit
ASV1155	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV1170	genus	unknown genus	Eukaryota	Annelida	Polychaeta	unknown order	unknown family	unknown genus	no identification	lca
ASV1173	species	Rhodotorula mucilaginosa	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa	best hit
ASV1196	species	Benthopecten acanthonotus	Eukaryota	Echinodermata	Asteroidea	Notomyotida	Benthopectinidae	Benthopecten	Benthopecten acanthonotus	best hit
ASV1211	species	Cyanea sp. USWAQCN	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Cyaneidae	Cyanea	Cyanea sp. USWAQCN	best hit
ASV1214	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1219	species	Frillagalma vityazi	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	Frillagalma	Frillagalma vityazi	best hit
ASV1236	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1243	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV1255	species	Margalefidinium polykrikoides	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	Margalefidinium polykrikoides	best hit
ASV1258	species	Gonatus onyx	Eukaryota	Mollusca	Cephalopoda	Teuthida	Gonatidae	Gonatus	Gonatus onyx	best hit
ASV1267	species	Pseudocalanus sp. PsAkkeshi1	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus sp. PsAkkeshi1	best hit
ASV1278	genus	Aphrodita	Eukaryota	Annelida	Polychaeta	Phyllodocida	Aphroditidae	Aphrodita	no identification	lca
ASV1282	species	Eukrohnia hamata	Eukaryota	Chaetognatha	Sagittoidea	Phragmophora	Eukrohniidae	Eukrohnia	Eukrohnia hamata	best hit
ASV1292	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1293	genus	Dokdonia	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia	no identification	lca
ASV1328	species	Neoturris breviconis	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	Neoturris	Neoturris breviconis	best hit
ASV1349	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV1352	species	Phacellophora camtschatica	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica	best hit
ASV1358	species	Oncorhynchus tshawytscha	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus tshawytscha	best hit
ASV1363	species	Pandeidae sp. USNM IZ 1163616	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	unknown genus	Pandeidae sp. USNM IZ 1163616	best hit
ASV1364	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1370	species	Protoptilum carpenteri	Eukaryota	Cnidaria	Anthozoa	Pennatulacea	Protoptilidae	Protoptilum	Protoptilum carpenteri	best hit
ASV1381	genus	Amaeana	Eukaryota	Annelida	Polychaeta	Terebellida	Terebellidae	Amaeana	no identification	lca
ASV1407	species	Chordata	Eukaryota	unknown phylum	unknown class	unknown order	unknown family	unknown genus	Chordata	best hit
ASV1417	species	Skeletonema japonicum	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema japonicum	best hit
ASV1418	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1426	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1439	species	Solmissus marshalli	Eukaryota	Cnidaria	Hydrozoa	Narcomedusae	Cuninidae	Solmissus	Solmissus marshalli	best hit
ASV1443	genus	Aequorea	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	no identification	lca
ASV1445	species	Protoptilum carpenteri	Eukaryota	Cnidaria	Anthozoa	Pennatulacea	Protoptilidae	Protoptilum	Protoptilum carpenteri	best hit
ASV145	species	Nanomia bijuga	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	Nanomia	Nanomia bijuga	best hit
ASV1467	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1475	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1481	species	Coryphaenoides cinereus	Eukaryota	Chordata	Actinopteri	Gadiformes	Macrouridae	Coryphaenoides	Coryphaenoides cinereus	best hit
ASV1498	species	Oncaea sp. 776DZMB	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	Oncaea sp. 776DZMB	best hit
ASV1512	species	Geotrichum candidum	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum candidum	best hit
ASV1519	species	Aeginura grimaldii	Eukaryota	Cnidaria	Hydrozoa	Narcomedusae	Aeginidae	Aeginura	Aeginura grimaldii	best hit
ASV1527	genus	Aequorea	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	no identification	lca
ASV1533	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1535	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1578	genus	Apolemia	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	Apolemia	no identification	lca
ASV1594	species	Croceibacter atlanticus HTCC2559	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter	Croceibacter atlanticus HTCC2559	best hit
ASV1595	species	Phacellophora camtschatica	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica	best hit
ASV1616	species	Protoptilum carpenteri	Eukaryota	Cnidaria	Anthozoa	Pennatulacea	Protoptilidae	Protoptilum	Protoptilum carpenteri	best hit
ASV1632	species	Chloropicon roscoffensis	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon roscoffensis	best hit
ASV1640	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1653	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1675	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1684	species	Chloroparvula sp. RCC4572	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula sp. RCC4572	best hit
ASV1712	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1780	species	Lestidiops ringens	Eukaryota	Chordata	Actinopteri	Aulopiformes	Paralepididae	Lestidiops	Lestidiops ringens	best hit
ASV1789	species	Cyanea sp. USWAQCN	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Cyaneidae	Cyanea	Cyanea sp. USWAQCN	best hit
ASV1790	genus	Aequorea	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	no identification	lca
ASV1802	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
ASV1827	species	Moina sp. ARRV-2013	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Moinidae	Moina	Moina sp. ARRV-2013	best hit
ASV1830	genus	Aequorea	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	no identification	lca
ASV1837	species	Chloroparvula pacifica	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	best hit
