"","ncbi_species","canonicalname","rank","gbif_status","query","worms_query","worms_sciname","worms_aphiaid","original_aphiaid","worms_match","status","unacceptreason","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","compare_name","in_region"
"1","Clupea pallasii","Clupea pallasii","species","ACCEPTED","Clupea pallasii","Clupea+pallasii","Clupea pallasii",151159,151159,"Clupea pallasii","accepted",NA,"Valenciennes, 1847","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea",0,0,"Clupea pallasii","yes"
"2","Clupea harengus","Clupea harengus","species","ACCEPTED","Clupea harengus","Clupea+harengus","Clupea harengus",126417,126417,"Clupea harengus","accepted",NA,"Linnaeus, 1758","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea",0,0,"Clupea harengus","yes"
"3","Sprattus sprattus","Sprattus sprattus","species","ACCEPTED","Sprattus sprattus","Sprattus+sprattus","Sprattus sprattus",126425,126425,"Sprattus sprattus","accepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Sprattus",0,0,"Sprattus sprattus","no"
"4","Sprattus muelleri","Sprattus muelleri","species","ACCEPTED","Sprattus muelleri","Sprattus+muelleri","Sprattus muelleri",272282,272282,"Sprattus muelleri","accepted",NA,"(Klunzinger, 1879)","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Sprattus",0,0,"Sprattus muelleri","no"
"5","Sprattus antipodum","Sprattus antipodum","species","ACCEPTED","Sprattus antipodum","Sprattus+antipodum","Sprattus antipodum",272280,272280,"Sprattus antipodum","accepted",NA,"(Hector, 1872)","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Sprattus",0,0,"Sprattus antipodum","no"
"6","Ethmidium maculatum","Ethmidium maculatum","species","ACCEPTED","Ethmidium maculatum","Ethmidium+maculatum","Ethmidium maculatum",280726,280726,"Ethmidium maculatum","accepted",NA,"(Valenciennes, 1847)","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Ethmidium",0,0,"Ethmidium maculatum","no"
"7","Gilchristella aestuaria","Gilchristella aestuaria","species","ACCEPTED","Gilchristella aestuaria","Gilchristella+aestuaria","Gilchristella aestuaria",277204,277204,"Gilchristella aestuaria","accepted",NA,"(Gilchrist, 1913)","Animalia","Chordata","Teleostei","Clupeiformes","Ehiravidae","Gilchristella",0,0,"Gilchristella aestuaria","no"
"8","Coilia mystus","Coilia mystus","species","ACCEPTED","Coilia mystus","Coilia+mystus","Coilia mystus",279082,279082,"Coilia mystus","accepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia",0,0,"Coilia mystus","yes"
"9","Setipinna taty","Setipinna taty","species","ACCEPTED","Setipinna taty","Setipinna+taty","Setipinna taty",282768,282768,"Setipinna taty","accepted",NA,"(Valenciennes, 1848)","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Setipinna",0,0,"Setipinna taty","no"
"10","Coilia cf. lindmani KAUM:I:34161","Coilia lindmani","species","ACCEPTED","Coilia lindmani","Coilia+lindmani","Coilia lindmani",279080,279080,"Coilia lindmani","accepted",NA,"Bleeker, 1857","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia",0,0,"Coilia lindmani","no"
"11","Coilia lindmani","Coilia lindmani","species","ACCEPTED","Coilia lindmani","Coilia+lindmani","Coilia lindmani",279080,279080,"Coilia lindmani","accepted",NA,"Bleeker, 1857","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia",0,0,"Coilia lindmani","no"
"12","Coilia grayii","Coilia grayii","species","ACCEPTED","Coilia grayii","Coilia+grayii","Coilia grayii",279079,279079,"Coilia grayii","accepted",NA,"Richardson, 1845","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia",0,0,"Coilia grayii","no"
"13","Coilia nasus","Coilia nasus","species","ACCEPTED","Coilia nasus","Coilia+nasus","Coilia nasus",279083,279083,"Coilia nasus","accepted",NA,"Temminck & Schlegel, 1846","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia",0,0,"Coilia nasus","no"
"14","Coilia brachygnathus","Coilia brachygnathus","species","ACCEPTED","Coilia brachygnathus","Coilia+brachygnathus","Coilia brachygnathus",279077,279077,"Coilia brachygnathus","accepted",NA,"Kreyenberg & Pappenheim, 1908","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia",0,0,"Coilia brachygnathus","no"
"15","Gudusia chapra","Gudusia chapra","species","ACCEPTED","Gudusia chapra","Gudusia+chapra","Gudusia chapra",742989,742989,"Gudusia chapra","accepted",NA,"(Hamilton, 1822)","Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Gudusia",0,0,"Gudusia chapra","no"
