found_taxa,worms_sciname,ncbi_species,gbif_name,rank,gbif_status,query,worms_aphiaid,worms_status,unacceptreason,freshwater_only,kingdom,phylum,class,order,family,genus
Clupea pallasii,Clupea pallasii,Clupea pallasii,Clupea pallasii,species,ACCEPTED,Clupea pallasii,151159,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea
Clupea harengus,Clupea harengus,Clupea harengus,Clupea harengus,species,ACCEPTED,Clupea harengus,126417,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea
Sprattus sprattus,Sprattus sprattus,Sprattus sprattus,Sprattus sprattus,species,ACCEPTED,Sprattus sprattus,126425,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus
Sprattus muelleri,Sprattus muelleri,Sprattus muelleri,Sprattus muelleri,species,ACCEPTED,Sprattus muelleri,272282,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus
Sprattus antipodum,Sprattus antipodum,Sprattus antipodum,Sprattus antipodum,species,ACCEPTED,Sprattus antipodum,272280,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus
Ethmidium maculatum,Ethmidium maculatum,Ethmidium maculatum,Ethmidium maculatum,species,ACCEPTED,Ethmidium maculatum,280726,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Ethmidium
Gilchristella aestuaria,Gilchristella aestuaria,Gilchristella aestuaria,Gilchristella aestuaria,species,ACCEPTED,Gilchristella aestuaria,277204,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Ehiravidae,Gilchristella
Coilia mystus,Coilia mystus,Coilia mystus,Coilia mystus,species,ACCEPTED,Coilia mystus,279082,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Setipinna taty,Setipinna taty,Setipinna taty,Setipinna taty,species,ACCEPTED,Setipinna taty,282768,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Setipinna
Coilia lindmani,Coilia lindmani,Coilia cf. lindmani KAUM:I:34161,Coilia lindmani,species,ACCEPTED,Coilia lindmani,279080,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Coilia lindmani,Coilia lindmani,Coilia lindmani,Coilia lindmani,species,ACCEPTED,Coilia lindmani,279080,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Coilia grayii,Coilia grayii,Coilia grayii,Coilia grayii,species,ACCEPTED,Coilia grayii,279079,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Coilia nasus,Coilia nasus,Coilia nasus,Coilia nasus,species,ACCEPTED,Coilia nasus,279083,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Coilia brachygnathus,Coilia brachygnathus,Coilia brachygnathus,Coilia brachygnathus,species,ACCEPTED,Coilia brachygnathus,279077,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Gudusia chapra,Gudusia chapra,Gudusia chapra,Gudusia chapra,species,ACCEPTED,Gudusia chapra,742989,accepted,NA,0,Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Gudusia
Prochilodus harttii,NA,Prochilodus harttii,NA,NA,NA,Prochilodus harttii,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Prochilodus lineatus,Prochilodus lineatus,Prochilodus lineatus,Prochilodus lineatus,species,ACCEPTED,Prochilodus lineatus,1016626,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Prochilodus costatus,Prochilodus costatus,Prochilodus costatus,Prochilodus costatus,species,ACCEPTED,Prochilodus costatus,1020354,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Prochilodus argenteus,Prochilodus argenteus,Prochilodus argenteus,Prochilodus argenteus,species,ACCEPTED,Prochilodus argenteus,1022670,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Elachocharax pulcher,Elachocharax pulcher,Elachocharax pulcher,Elachocharax pulcher,species,ACCEPTED,Elachocharax pulcher,1013488,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Crenuchidae,Elachocharax
Prochilodus nigricans,Prochilodus nigricans,Prochilodus nigricans,Prochilodus nigricans,species,ACCEPTED,Prochilodus nigricans,1011318,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Conocara murrayi,Conocara murrayi,Conocara murrayi,Conocara murrayi,species,ACCEPTED,Conocara murrayi,126697,accepted,NA,0,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Conocara
Barbucca diabolica,Barbucca diabolica,Barbucca diabolica,Barbucca diabolica,species,ACCEPTED,Barbucca diabolica,1011539,accepted,NA,1,Animalia,Chordata,Teleostei,Cypriniformes,Barbuccidae,Barbucca
Liniparhomaloptera disparis,Liniparhomaloptera disparis,Liniparhomaloptera disparis disparis,Liniparhomaloptera disparis disparis,subspecies,SYNONYM,Liniparhomaloptera disparis disparis,293622,unaccepted,NA,0,Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Liniparhomaloptera
Prochilodus vimboides,Prochilodus vimboides,Prochilodus vimboides,Prochilodus vimboides,species,ACCEPTED,Prochilodus vimboides,1018422,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus
Semaprochilodus sp. CBM:ZF:13710,NA,Semaprochilodus sp. CBM:ZF:13710,NA,NA,NA,Semaprochilodus sp. CBM:ZF:13710,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Semaprochilodus
Semaprochilodus insignis,Semaprochilodus insignis,Semaprochilodus insignis,Semaprochilodus insignis,species,ACCEPTED,Semaprochilodus insignis,1018426,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Semaprochilodus
Copella arnoldi,Copella arnoldi,Copella arnoldi,Copella arnoldi,species,ACCEPTED,Copella arnoldi,1017646,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Lebiasinidae,Copella
Yunnanilus longibarbatus,Yunnanilus longibarbatus,Yunnanilus longibarbatus,Yunnanilus longibarbatus,species,ACCEPTED,Yunnanilus longibarbatus,1008656,accepted,NA,1,Animalia,Chordata,Teleostei,Cypriniformes,Nemacheilidae,Yunnanilus
Semaprochilodus sp. CBM:ZF:12566,NA,Semaprochilodus sp. CBM:ZF:12566,NA,NA,NA,Semaprochilodus sp. CBM:ZF:12566,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Semaprochilodus
Pseudogastromyzon fangi,Pseudogastromyzon fangi,Pseudogastromyzon fangi,Pseudogastromyzon fangi,species,ACCEPTED,Pseudogastromyzon fangi,1015801,accepted,NA,1,Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Pseudogastromyzon
Piaractus brachypomus,Piaractus brachypomus,Piaractus brachypomus,Piaractus brachypomus,species,ACCEPTED,Piaractus brachypomus,1022721,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Piaractus
Seriolella porosa,Seriolella porosa,Seriolella porosa,Seriolella porosa,species,ACCEPTED,Seriolella porosa,282757,accepted,NA,0,Animalia,Chordata,Teleostei,Scombriformes,Centrolophidae,Seriolella
Piaractus mesopotamicus,Piaractus mesopotamicus,Piaractus mesopotamicus,Piaractus mesopotamicus,species,ACCEPTED,Piaractus mesopotamicus,1019322,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Piaractus
Colossoma macropomum,Colossoma macropomum,Colossoma macropomum,Colossoma macropomum,species,ACCEPTED,Colossoma macropomum,1020122,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Colossoma
Piaractus sp. HC-2014,NA,Piaractus sp. HC-2014,NA,NA,NA,Piaractus sp. HC-2014,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Piaractus
Geophagus brasiliensis,Geophagus brasiliensis,Geophagus brasiliensis,Geophagus brasiliensis,species,ACCEPTED,Geophagus brasiliensis,280831,accepted,NA,0,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Geophagus
Pygocentrus nattereri,Pygocentrus nattereri,Pygocentrus nattereri,Pygocentrus nattereri,species,ACCEPTED,Pygocentrus nattereri,1018170,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Pygocentrus
Semaprochilodus taeniurus,Semaprochilodus taeniurus,Semaprochilodus taeniurus,Semaprochilodus taeniurus,species,ACCEPTED,Semaprochilodus taeniurus,1150190,accepted,NA,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Semaprochilodus
Salmo salar,Salmo salar,Salmo salar,Salmo salar,species,ACCEPTED,Salmo salar,127186,accepted,NA,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salmo trutta,Salmo trutta,Salmo trutta,Salmo trutta,species,ACCEPTED,Salmo trutta,127187,accepted,NA,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
