#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV2	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV3	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV4	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV5	family	Salmonidae	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	no identification	no identification	lca
ASV6	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV7	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV8	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV9	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV10	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV11	order	Gadiformes	Eukaryota	Chordata	Actinopteri	Gadiformes	no identification	no identification	no identification	lca
ASV12	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV13	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV14	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV15	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV16	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV17	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV18	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV19	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV20	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
ASV21	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV22	order	Gadiformes	Eukaryota	Chordata	Actinopteri	Gadiformes	no identification	no identification	no identification	lca
ASV23	order	Chimaeriformes	Eukaryota	Chordata	Chondrichthyes	Chimaeriformes	no identification	no identification	no identification	lca
ASV24	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV25	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV26	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV27	kingdom	Bacteria	Bacteria	no identification	no identification	no identification	no identification	no identification	no identification	lca
ASV28	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV29	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV30	order	Gadiformes	Eukaryota	Chordata	Actinopteri	Gadiformes	no identification	no identification	no identification	lca
ASV31	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV32	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV33	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV34	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV35	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
