row_names	input	filtered	denoisedF	denoisedR	merged	merged.1	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
12S-NegPCR1-Vector_S96_L001_R1_001.fastq.gz	1812	1314	1250	1111	320	320	320	0	0	17.6600441501104
12S-NegPCR2-Vector_S140_L001_R1_001.fastq.gz	216	161	135	119	108	108	108	0	0	50
GDS001-Pacific_S1_L001_R1_001.fastq.gz	41906	34744	34119	33260	29481	29481	28319	0	3.94152165801704	67.5774352121415
GDS002-Pacific_S2_L001_R1_001.fastq.gz	21274	18640	18514	18019	7644	7644	7644	0	0	35.9311836043997
GDS003-Pacific_S3_L001_R1_001.fastq.gz	77897	71431	71357	71004	69336	69336	66204	0	4.51713395638629	84.9891523421955
GDS004-Pacific_S4_L001_R1_001.fastq.gz	1596	983	899	750	685	685	685	0	0	42.9197994987469
GDS005-Pacific_S5_L001_R1_001.fastq.gz	153682	147814	147427	144789	143783	143783	139424	0	3.03165186426769	90.7224008016554
GDS006-Pacific_S6_L001_R1_001.fastq.gz	276798	265526	264790	260855	259049	259049	255772	0	1.26501163872473	92.4038468486044
GDS007-Pacific_S7_L001_R1_001.fastq.gz	828	498	453	377	360	360	360	0	0	43.4782608695652
GDS008-Pacific_S8_L001_R1_001.fastq.gz	83273	78066	77963	77664	76898	76898	72596	0	5.59442378215297	87.1783171015815
GDS009-Pacific_S9_L001_R1_001.fastq.gz	229198	207732	206206	198820	53391	53391	52964	0	0.799760259219724	23.1084040872957
GDS010-Pacific_S10_L001_R1_001.fastq.gz	49334	45165	44778	43599	20315	20315	20315	0	0	41.1784975878704
GDS011-Pacific_S11_L001_R1_001.fastq.gz	499	286	252	167	130	130	130	0	0	26.0521042084168
GDS012-Pacific_S12_L001_R1_001.fastq.gz	271747	262968	262535	259741	256780	256780	251788	0	1.94407664148298	92.6553007024917
GDS013-Pacific_S13_L001_R1_001.fastq.gz	127262	120130	119822	116681	110679	110679	105389	0	4.7795878170204	82.8126227782056
GDS014-Pacific_S14_L001_R1_001.fastq.gz	108386	98370	98068	96115	88702	88702	82213	0	7.31550585105184	75.8520473123835
GDS015-Pacific_S15_L001_R1_001.fastq.gz	706	430	382	321	301	301	301	0	0	42.6345609065156
GDS016-Pacific_S16_L001_R1_001.fastq.gz	115968	108855	108675	106913	104400	104400	102109	0	2.19444444444444	88.0492894591611
GDS017-Pacific_S17_L001_R1_001.fastq.gz	229576	209301	207833	195679	58401	58401	58289	0	0.19177753805586	25.3898491131477
GDS018-Pacific_S18_L001_R1_001.fastq.gz	257582	248652	248263	246848	245004	245004	243956	0	0.427748118398057	94.7100340862327
GDS019-Pacific_S19_L001_R1_001.fastq.gz	427	249	221	163	124	124	124	0	0	29.03981264637
GDS020-Pacific_S20_L001_R1_001.fastq.gz	1859	1436	1289	1207	1109	1109	1109	0	0	59.6557288864981
GDS021-Pacific_S21_L001_R1_001.fastq.gz	60223	55841	55784	55540	50852	50852	47776	0	6.04892629591757	79.3318167477542
GDS022-Pacific_S22_L001_R1_001.fastq.gz	9670	7969	7886	7713	212	212	212	0	0	2.1923474663909
GDS023-Pacific_S23_L001_R1_001.fastq.gz	470	296	234	217	182	182	182	0	0	38.7234042553192
GDS024-Pacific_S24_L001_R1_001.fastq.gz	244220	236321	234673	233094	228594	228594	224873	0	1.62777675704524	92.0780443862092
GDS025-Pacific_S25_L001_R1_001.fastq.gz	117136	105751	104795	102411	66627	66627	65849	0	1.16769477839314	56.2158516596093
