reads.in	reads.out	percentage_retained
12S-NegPCR1-Vector_S96_L001_R1_001.fastq.gz	1812	1314	72.5165562913907
12S-NegPCR2-Vector_S140_L001_R1_001.fastq.gz	216	161	74.537037037037
GDS001-Pacific_S1_L001_R1_001.fastq.gz	41906	34744	82.9093685868372
GDS002-Pacific_S2_L001_R1_001.fastq.gz	21274	18640	87.6186894801166
GDS003-Pacific_S3_L001_R1_001.fastq.gz	77897	71431	91.6992952231793
GDS004-Pacific_S4_L001_R1_001.fastq.gz	1596	983	61.5914786967419
GDS005-Pacific_S5_L001_R1_001.fastq.gz	153682	147814	96.1817259015369
GDS006-Pacific_S6_L001_R1_001.fastq.gz	276798	265526	95.9277162407243
GDS007-Pacific_S7_L001_R1_001.fastq.gz	828	498	60.1449275362319
GDS008-Pacific_S8_L001_R1_001.fastq.gz	83273	78066	93.7470728807657
GDS009-Pacific_S9_L001_R1_001.fastq.gz	229198	207732	90.6342987286102
GDS010-Pacific_S10_L001_R1_001.fastq.gz	49334	45165	91.5494385211011
GDS011-Pacific_S11_L001_R1_001.fastq.gz	499	286	57.314629258517
GDS012-Pacific_S12_L001_R1_001.fastq.gz	271747	262968	96.7694215575517
GDS013-Pacific_S13_L001_R1_001.fastq.gz	127262	120130	94.3958133614119
GDS014-Pacific_S14_L001_R1_001.fastq.gz	108386	98370	90.7589541084642
GDS015-Pacific_S15_L001_R1_001.fastq.gz	706	430	60.9065155807365
GDS016-Pacific_S16_L001_R1_001.fastq.gz	115968	108855	93.8664114238411
GDS017-Pacific_S17_L001_R1_001.fastq.gz	229576	209301	91.1685019340001
GDS018-Pacific_S18_L001_R1_001.fastq.gz	257582	248652	96.5331428438323
GDS019-Pacific_S19_L001_R1_001.fastq.gz	427	249	58.3138173302108
GDS020-Pacific_S20_L001_R1_001.fastq.gz	1859	1436	77.2458310919849
GDS021-Pacific_S21_L001_R1_001.fastq.gz	60223	55841	92.7237102103847
GDS022-Pacific_S22_L001_R1_001.fastq.gz	9670	7969	82.4095139607032
GDS023-Pacific_S23_L001_R1_001.fastq.gz	470	296	62.9787234042553
GDS024-Pacific_S24_L001_R1_001.fastq.gz	244220	236321	96.765621161248
GDS025-Pacific_S25_L001_R1_001.fastq.gz	117136	105751	90.2805286163093
GDS026-Pacific_S26_L001_R1_001.fastq.gz	19316	17081	88.4292814247256
GDS027-Pacific_S27_L001_R1_001.fastq.gz	139352	132444	95.0427693897468
GDS028-Pacific_S28_L001_R1_001.fastq.gz	3230	2619	81.0835913312693
GDS029-Pacific_S29_L001_R1_001.fastq.gz	274228	266639	97.2325947751506
GDS030-Pacific_S30_L001_R1_001.fastq.gz	1282	727	56.7082683307332
GDS031-Pacific_S31_L001_R1_001.fastq.gz	879	534	60.7508532423208
GDS032-Pacific_S32_L001_R1_001.fastq.gz	130809	122911	93.9621891460068
GDS033-Pacific_S33_L001_R1_001.fastq.gz	173019	162787	94.0861986255845
GDS034-Pacific_S34_L001_R1_001.fastq.gz	202141	192864	95.4106292142613
GDS035-Pacific_S35_L001_R1_001.fastq.gz	462	273	59.0909090909091
GDS036-Pacific_S36_L001_R1_001.fastq.gz	101296	94727	93.515045016585
GDS037-Pacific_S37_L001_R1_001.fastq.gz	908	641	70.5947136563877
GDS038-Pacific_S38_L001_R1_001.fastq.gz	950	607	63.8947368421053
GDS039-Pacific_S39_L001_R1_001.fastq.gz	269837	260825	96.6602059762004
GDS040-Pacific_S40_L001_R1_001.fastq.gz	122322	115367	94.3141871454031
GDS041-Pacific_S41_L001_R1_001.fastq.gz	261442	252424	96.5506689820304
GDS042-Pacific_S42_L001_R1_001.fastq.gz	36035	34023	94.4165394755099
GDS043-Pacific_S43_L001_R1_001.fastq.gz	122116	117113	95.9030757640276
GDS044-Pacific_S44_L001_R1_001.fastq.gz	281231	272373	96.8502761075415
GDS045-Pacific_S45_L001_R1_001.fastq.gz	250	164	65.6
GDS046-Pacific_S46_L001_R1_001.fastq.gz	14721	13738	93.3224645064873
GDS047-Pacific_S47_L001_R1_001.fastq.gz	9912	9502	95.863599677159
GDS048-Pacific_S48_L001_R1_001.fastq.gz	322	254	78.8819875776398
GDS049-Pacific_S49_L001_R1_001.fastq.gz	100914	94247	93.3933844659809
GDS050-Pacific_S50_L001_R1_001.fastq.gz	109379	102411	93.6294901215041
GDS051-Pacific_S51_L001_R1_001.fastq.gz	118850	113669	95.640723601178
GDS052-Pacific_S52_L001_R1_001.fastq.gz	518	359	69.3050193050193
