Clupeiformes	gi|2192933999|ref|NC_060735.1|	78.82	170	32	4	1	166	317	486	7e-27	 131
Gadiformes	gi|124377051|emb|AM489716.1|	100.00	169	0	0	1	169	321	489	2e-79	 306
Perciformes	gi|115531595|ref|NC_008455.1|	83.44	163	14	13	1	150	317	479	5e-35	 158
Salmoniformes	gi|161333791|ref|NC_010007.1|	97.65	170	4	0	1	170	314	483	1e-74	 289
Ovalentaria	gi|239583804|gb|FJ616313.1|	88.55	166	18	1	1	165	251	416	9e-51	 211
Cypriniformes	gi|2206977415|ref|NC_061395.1|	84.75	177	22	5	1	175	315	488	4e-43	 185
Pleuronectiformes	gi|2491777163|gb|OQ846358.1|	89.94	169	16	1	1	168	1	169	4e-55	 225
Argentiniformes	gi|378968448|gb|JQ661484.1|	84.21	171	23	4	1	168	314	483	2e-39	 173
Chimaeriformes	gi|124377093|emb|AM489719.1|	86.89	61	7	1	3	63	323	382	7e-09	71.6
Scombriformes	gi|2491777163|gb|OQ846358.1|	91.72	169	14	0	1	169	1	169	2e-60	 242
Clupeiformes	gi|2192933999|ref|NC_060735.1|	78.82	170	32	4	1	166	317	486	7e-27	 131
Gadiformes	gi|124377051|emb|AM489716.1|	100.00	169	0	0	1	169	321	489	2e-79	 306
Perciformes	gi|115531595|ref|NC_008455.1|	83.44	163	14	13	1	150	317	479	5e-35	 158
Salmoniformes	gi|161333791|ref|NC_010007.1|	97.65	170	4	0	1	170	314	483	1e-74	 289
Ovalentaria	gi|239583804|gb|FJ616313.1|	88.55	166	18	1	1	165	251	416	9e-51	 211
Cypriniformes	gi|2206977415|ref|NC_061395.1|	84.75	177	22	5	1	175	315	488	4e-43	 185
Pleuronectiformes	gi|2491777163|gb|OQ846358.1|	89.94	169	16	1	1	168	1	169	4e-55	 225
Argentiniformes	gi|378968448|gb|JQ661484.1|	84.21	171	23	4	1	168	314	483	2e-39	 173
Chimaeriformes	gi|124377093|emb|AM489719.1|	86.89	61	7	1	3	63	323	382	7e-09	71.6
Scombriformes	gi|2491777163|gb|OQ846358.1|	91.72	169	14	0	1	169	1	169	2e-60	 242
Clupeiformes	gi|2239967390|gb|MW586886.1|	84.97	173	25	1	1	172	16358	16186	2e-45	 192
Gadiformes	gi|972974892|gb|KT358948.1|	81.48	162	30	0	1	162	196	357	4e-35	 158
Perciformes	gi|1035438550|gb|KT289926.1|	85.12	168	12	13	1	155	316	483	1e-40	 176
Salmoniformes	gi|1642521931|ref|NC_042195.1|	95.29	170	8	0	1	170	314	483	2e-69	 271
Ovalentaria	gi|1347730077|ref|NC_037020.1|	85.38	171	19	6	1	168	315	482	2e-44	 188
Cypriniformes	gi|4234897|gb|AF081847.1|AF081847	89.89	178	15	3	1	175	243	420	6e-58	 234
Pleuronectiformes	gi|906357418|dbj|AB972099.1|	98.82	169	1	1	1	168	1	169	7e-76	 293
Argentiniformes	gi|685497371|ref|NC_024879.1|	82.94	170	26	3	1	168	315	483	2e-37	 166
Chimaeriformes	gi|556571580|gb|KF569218.1|	87.10	62	6	2	3	63	1595	1655	2e-08	69.8
Scombriformes	gi|906357418|dbj|AB972099.1|	99.41	169	1	0	1	169	1	169	5e-78	 301
