#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
ASV1	Clupea pallasii CBM:ZF:20436 mitochondrial gene for 12S rRNA, partial sequence	LC552350	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151385	LC091582	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:112517	LC091581	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:049684	LC091580	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:192191	LC020932	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea pallasii mitochondrial DNA, complete genome	AP009134	30724	100.000	100	8.90e-83	318	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Clupea harengus mitochondrion, complete genome	MN122931	7950	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea harengus
ASV1	Clupea harengus isolate SF77 12S ribosomal RNA gene, partial sequence; mitochondrial	MH194498	7950	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea harengus
ASV1	Clupea pallasii mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:048004	LC091579	30724	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Clupea / Clupea pallasii
ASV1	Sprattus sprattus isolate SEA0267 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW818344	196075	99.419	100	4.14e-81	313	Genbank	Eukaryota / Chordata / Actinopteri / Clupeiformes / Clupeidae / Sprattus / Sprattus sprattus
ASV2	Thalassiosira sp. isolate GF379-16S_31 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011824	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF379-16S_30 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011823	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF379-16S_22 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011815	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF379-16S_20 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011813	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF379-16S_7 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011804	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF379-16S_4 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011802	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF379-16S_2 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011799	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF367-16S_29 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011797	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF367-16S_28 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011796	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
ASV2	Thalassiosira sp. isolate GF367-16S_26 16S small subunit ribosomal RNA gene, partial sequence; chloroplast	MH011794	1891026	100.000	100	1.32e-127	468	Genbank	Eukaryota / Bacillariophyta / Coscinodiscophyceae / Thalassiosirales / Thalassiosiraceae / Thalassiosira / Thalassiosira sp.
